long_East,lat_North,topography, MOLArange,  planet_rad, c,A,  Ephermis Time,            UTC,          Orbit
137.37669, -4.09420,   -2659.75, 390043.53,  3393004.81,1,0, -23162931.18358,1999-04-08T09:50:04.631, 10372
137.37603, -4.09930,   -2670.05, 390051.43,  3392994.23,1,0, -23162931.08358,1999-04-08T09:50:04.731, 10372
137.37537, -4.10440,   -2665.54, 390044.55,  3392998.45,1,0, -23162930.98357,1999-04-08T09:50:04.831, 10372
137.37471, -4.10950,   -2687.89, 390064.51,  3392975.82,1,0, -23162930.88357,1999-04-08T09:50:04.931, 10372
137.37405, -4.11460,   -2683.05, 390057.26,  3392980.38,1,0, -23162930.78357,1999-04-08T09:50:05.031, 10372
137.37339, -4.11970,   -2655.12, 390026.95,  3393008.02,1,0, -23162930.68356,1999-04-08T09:50:05.131, 10372
137.37273, -4.12470,   -2668.80, 390038.23,  3392994.06,1,0, -23162930.58356,1999-04-08T09:50:05.231, 10372
137.37207, -4.12980,   -2705.39, 390072.43,  3392957.19,1,0, -23162930.48355,1999-04-08T09:50:05.331, 10372
137.37140, -4.13490,   -2774.80, 390139.45,  3392887.49,1,0, -23162930.38355,1999-04-08T09:50:05.431, 10372
137.37074, -4.14000,   -2835.22, 390197.49,  3392826.79,1,0, -23162930.28355,1999-04-08T09:50:05.531, 10372
137.37008, -4.14510,   -2865.73, 390225.62,  3392795.99,1,0, -23162930.18354,1999-04-08T09:50:05.631, 10372
137.36942, -4.15020,   -2847.08, 390204.55,  3392814.36,1,0, -23162930.08354,1999-04-08T09:50:05.731, 10372
137.36876, -4.15520,   -2885.58, 390240.67,  3392775.58,1,0, -23162929.98354,1999-04-08T09:50:05.831, 10372
137.36810, -4.16030,   -2940.71, 390293.39,  3392720.16,1,0, -23162929.88353,1999-04-08T09:50:05.931, 10372
137.36744, -4.16540,   -3000.09, 390350.39,  3392660.50,1,0, -23162929.78353,1999-04-08T09:50:06.031, 10372
137.36678, -4.17050,   -3002.47, 390350.37,  3392657.84,1,0, -23162929.68352,1999-04-08T09:50:06.131, 10372
137.36612, -4.17560,   -2996.25, 390341.75,  3392663.77,1,0, -23162929.58352,1999-04-08T09:50:06.231, 10372
137.36546, -4.18070,   -2915.40, 390258.51,  3392744.34,1,0, -23162929.48352,1999-04-08T09:50:06.331, 10372
137.36480, -4.18570,   -2903.54, 390244.25,  3392755.92,1,0, -23162929.38351,1999-04-08T09:50:06.431, 10372
137.36413, -4.19080,   -3028.85, 390367.17,  3392630.32,1,0, -23162929.28351,1999-04-08T09:50:06.531, 10372
137.36347, -4.19590,   -3086.03, 390422.00,  3392572.85,1,0, -23162929.18351,1999-04-08T09:50:06.631, 10372
137.36281, -4.20100,   -3115.76, 390449.31,  3392542.83,1,0, -23162929.08350,1999-04-08T09:50:06.731, 10372
137.36215, -4.20610,   -3142.85, 390474.01,  3392515.46,1,0, -23162928.98350,1999-04-08T09:50:06.831, 10372
137.36149, -4.21110,   -3249.83, 390578.59,  3392408.19,1,0, -23162928.88349,1999-04-08T09:50:06.931, 10372
137.36083, -4.21620,   -3390.18, 390716.58,  3392267.55,1,0, -23162928.78349,1999-04-08T09:50:07.031, 10372
137.36017, -4.22130,   -3523.89, 390847.89,  3392133.55,2,0, -23162928.68349,1999-04-08T09:50:07.131, 10372
137.35952, -4.22640,   -3658.71, 390980.33,  3391998.45,1,0, -23162928.58348,1999-04-08T09:50:07.231, 10372
137.35886, -4.23150,   -3766.01, 391085.23,  3391890.86,1,0, -23162928.48348,1999-04-08T09:50:07.331, 10372
137.35820, -4.23660,   -3837.74, 391154.56,  3391818.84,1,0, -23162928.38348,1999-04-08T09:50:07.431, 10372
137.35754, -4.24170,   -3892.19, 391206.62,  3391764.11,1,0, -23162928.28347,1999-04-08T09:50:07.531, 10372
137.35688, -4.24670,   -3940.01, 391252.06,  3391716.00,1,0, -23162928.18347,1999-04-08T09:50:07.631, 10372
137.35622, -4.25180,   -3973.47, 391283.13,  3391682.25,1,0, -23162928.08346,1999-04-08T09:50:07.731, 10372
137.35556, -4.25690,   -3988.65, 391295.92,  3391666.79,1,0, -23162927.98346,1999-04-08T09:50:07.831, 10372
137.35490, -4.26200,   -4006.84, 391311.70,  3391648.31,1,0, -23162927.88346,1999-04-08T09:50:07.931, 10372
137.35425, -4.26710,   -4019.97, 391322.45,  3391634.89,1,0, -23162927.78345,1999-04-08T09:50:08.031, 10372
137.35359, -4.27220,   -4034.07, 391334.17,  3391620.50,1,0, -23162927.68345,1999-04-08T09:50:08.131, 10372
137.35293, -4.27730,   -4043.97, 391341.67,  3391610.32,1,0, -23162927.58345,1999-04-08T09:50:08.231, 10372
137.35227, -4.28240,   -4052.61, 391347.90,  3391601.39,1,0, -23162927.48344,1999-04-08T09:50:08.331, 10372
137.35161, -4.28750,   -4050.97, 391343.89,  3391602.74,1,0, -23162927.38344,1999-04-08T09:50:08.431, 10372
137.35097, -4.29260,   -4008.31, 391298.82,  3391645.11,1,0, -23162927.28343,1999-04-08T09:50:08.531, 10372
137.35032, -4.29770,   -3959.52, 391247.65,  3391693.61,1,0, -23162927.18343,1999-04-08T09:50:08.631, 10372
137.34966, -4.30280,   -3941.88, 391227.61,  3391710.96,1,0, -23162927.08343,1999-04-08T09:50:08.731, 10372
