long_East,lat_North,topography, MOLArange,  planet_rad, c,A,  Ephermis Time,            UTC,          Orbit
354.68603, -2.44460,   -1486.34, 389146.82,  3394040.20,1,0, -26456702.86477,1999-03-01T06:53:52.950,  1587
354.68536, -2.43950,   -1486.17, 389149.51,  3394040.49,1,0, -26456702.76477,1999-03-01T06:53:53.050,  1587
354.68469, -2.43440,   -1483.66, 389149.89,  3394043.12,1,0, -26456702.66477,1999-03-01T06:53:53.150,  1587
354.68402, -2.42940,   -1480.78, 389149.90,  3394046.12,1,0, -26456702.56476,1999-03-01T06:53:53.250,  1587
354.68334, -2.42430,   -1475.98, 389147.94,  3394051.05,1,0, -26456702.46476,1999-03-01T06:53:53.350,  1587
354.68267, -2.41920,   -1470.49, 389145.33,  3394056.66,1,0, -26456702.36475,1999-03-01T06:53:53.450,  1587
354.68200, -2.41410,   -1463.89, 389141.63,  3394063.38,1,0, -26456702.26475,1999-03-01T06:53:53.550,  1587
354.68133, -2.40910,   -1462.56, 389143.19,  3394064.82,1,0, -26456702.16475,1999-03-01T06:53:53.650,  1587
354.68066, -2.40400,   -1466.00, 389149.50,  3394061.50,1,0, -26456702.06474,1999-03-01T06:53:53.750,  1587
354.68000, -2.39890,   -1456.31, 389142.66,  3394071.31,1,0, -26456701.96474,1999-03-01T06:53:53.850,  1587
354.67933, -2.39380,   -1449.71, 389138.94,  3394078.03,1,0, -26456701.86473,1999-03-01T06:53:53.950,  1587
354.67866, -2.38870,   -1477.54, 389169.66,  3394050.31,1,0, -26456701.76473,1999-03-01T06:53:54.050,  1587
354.67799, -2.38370,   -1515.19, 389210.19,  3394012.78,1,0, -26456701.66473,1999-03-01T06:53:54.150,  1587
354.67732, -2.37860,   -1548.67, 389246.56,  3393979.42,1,0, -26456701.56472,1999-03-01T06:53:54.250,  1587
354.67665, -2.37350,   -1581.77, 389282.52,  3393946.44,1,0, -26456701.46472,1999-03-01T06:53:54.350,  1587
354.67598, -2.36840,   -1621.26, 389324.88,  3393907.07,1,0, -26456701.36472,1999-03-01T06:53:54.450,  1587
354.67531, -2.36330,   -1642.32, 389348.84,  3393886.12,1,0, -26456701.26471,1999-03-01T06:53:54.550,  1587
354.67465, -2.35830,   -1651.86, 389361.26,  3393876.70,1,0, -26456701.16471,1999-03-01T06:53:54.650,  1587
354.67398, -2.35320,   -1660.77, 389373.03,  3393867.91,1,0, -26456701.06470,1999-03-01T06:53:54.750,  1587
354.67331, -2.34810,   -1661.03, 389376.18,  3393867.77,1,0, -26456700.96470,1999-03-01T06:53:54.850,  1587
354.67264, -2.34300,   -1665.59, 389383.61,  3393863.33,1,0, -26456700.86470,1999-03-01T06:53:54.950,  1587
354.67197, -2.33800,   -1674.22, 389395.13,  3393854.81,1,0, -26456700.76469,1999-03-01T06:53:55.050,  1587
