long_East,lat_North,topography, MOLArange,  planet_rad, c,A,  Ephermis Time,            UTC,          Orbit
077.83429, 17.94400,   -2437.81, 400951.53,  3392149.10,1,0, -26477480.74719,1999-03-01T01:07:35.067,  1584
077.83359, 17.94910,   -2381.50, 400898.73,  3392204.55,1,0, -26477480.64719,1999-03-01T01:07:35.167,  1584
077.83290, 17.95410,   -2343.15, 400863.87,  3392242.04,1,0, -26477480.54718,1999-03-01T01:07:35.267,  1584
077.83220, 17.95920,   -2283.44, 400807.70,  3392300.88,1,0, -26477480.44718,1999-03-01T01:07:35.367,  1584
077.83150, 17.96430,   -2296.08, 400823.84,  3392287.38,1,0, -26477480.34718,1999-03-01T01:07:35.467,  1584
077.83081, 17.96930,   -2268.08, 400799.34,  3392314.52,1,0, -26477480.24717,1999-03-01T01:07:35.567,  1584
077.83011, 17.97440,   -2271.47, 400806.22,  3392310.27,1,0, -26477480.14717,1999-03-01T01:07:35.667,  1584
077.82941, 17.97950,   -2264.20, 400802.49,  3392316.67,1,0, -26477480.04717,1999-03-01T01:07:35.767,  1584
077.82871, 17.98450,   -2271.12, 400812.92,  3392308.89,1,0, -26477479.94716,1999-03-01T01:07:35.867,  1584
077.82802, 17.98960,   -2268.33, 400813.62,  3392310.82,1,0, -26477479.84716,1999-03-01T01:07:35.967,  1584
077.82732, 17.99470,   -2214.55, 400763.36,  3392363.73,1,0, -26477479.74715,1999-03-01T01:07:36.067,  1584
077.82662, 17.99970,   -2233.57, 400785.91,  3392343.85,1,0, -26477479.64715,1999-03-01T01:07:36.167,  1584
077.82593, 18.00480,   -2251.09, 400806.93,  3392325.47,1,0, -26477479.54715,1999-03-01T01:07:36.267,  1584
077.82523, 18.00990,   -2245.62, 400804.96,  3392330.07,1,0, -26477479.44714,1999-03-01T01:07:36.367,  1584
077.82453, 18.01490,   -2213.39, 400776.24,  3392361.44,1,0, -26477479.34714,1999-03-01T01:07:36.467,  1584
077.82382, 18.01990,   -2159.94, 400726.29,  3392414.03,1,0, -26477479.24714,1999-03-01T01:07:36.567,  1584
077.82312, 18.02500,   -2129.46, 400699.34,  3392443.65,1,0, -26477479.14713,1999-03-01T01:07:36.667,  1584
077.82241, 18.03000,   -2222.58, 400795.97,  3392349.67,1,0, -26477479.04713,1999-03-01T01:07:36.767,  1584
077.82171, 18.03510,   -2291.41, 400868.30,  3392279.98,1,0, -26477478.94712,1999-03-01T01:07:36.868,  1584
077.82101, 18.04010,   -2312.37, 400892.76,  3392258.16,1,0, -26477478.84712,1999-03-01T01:07:36.968,  1584
077.82031, 18.04520,   -2337.64, 400921.56,  3392232.03,1,0, -26477478.74712,1999-03-01T01:07:37.068,  1584
077.81960, 18.05020,   -2368.34, 400955.75,  3392200.47,1,0, -26477478.64711,1999-03-01T01:07:37.168,  1584
077.81890, 18.05530,   -2384.94, 400975.86,  3392183.00,1,0, -26477478.54711,1999-03-01T01:07:37.268,  1584
077.81820, 18.06040,   -2414.12, 401008.57,  3392152.96,1,0, -26477478.44711,1999-03-01T01:07:37.368,  1584
077.81750, 18.06540,   -2454.33, 401052.28,  3392111.89,1,0, -26477478.34710,1999-03-01T01:07:37.468,  1584
077.81680, 18.07040,   -2501.20, 401102.65,  3392064.16,1,0, -26477478.24710,1999-03-01T01:07:37.568,  1584
077.81609, 18.07550,   -2561.02, 401165.98,  3392003.48,1,0, -26477478.14709,1999-03-01T01:07:37.668,  1584
077.81539, 18.08050,   -2581.10, 401189.56,  3391982.54,1,0, -26477478.04709,1999-03-01T01:07:37.768,  1584
077.81469, 18.08560,   -2607.94, 401219.93,  3391954.83,1,0, -26477477.94709,1999-03-01T01:07:37.868,  1584
077.81399, 18.09060,   -2635.01, 401250.50,  3391926.90,1,0, -26477477.84708,1999-03-01T01:07:37.968,  1584
077.81328, 18.09570,   -2661.85, 401280.85,  3391899.20,1,0, -26477477.74708,1999-03-01T01:07:38.068,  1584
077.81258, 18.10080,   -2674.30, 401296.80,  3391885.89,1,0, -26477477.64708,1999-03-01T01:07:38.168,  1584
077.81188, 18.10580,   -2680.47, 401306.48,  3391878.86,1,0, -26477477.54707,1999-03-01T01:07:38.268,  1584
