long_East,lat_North,topography, MOLArange,  planet_rad, c,A,  Ephermis Time,            UTC,          Orbit
234.58056, 68.71840,   -4135.42, 432861.04,  3376170.86,1,0, -26292062.76640,1999-03-03T04:37:53.048,  1610
234.57816, 68.71340,   -4134.68, 432858.04,  3376172.69,1,0, -26292062.66640,1999-03-03T04:37:53.148,  1610
234.57576, 68.70850,   -4137.30, 432858.39,  3376171.17,1,0, -26292062.56639,1999-03-03T04:37:53.248,  1610
234.57336, 68.70350,   -4138.43, 432857.26,  3376171.13,1,0, -26292062.46639,1999-03-03T04:37:53.348,  1610
234.57095, 68.69850,   -4138.12, 432854.70,  3376172.53,1,0, -26292062.36639,1999-03-03T04:37:53.448,  1610
234.56626, 68.68860,   -4130.64, 432842.68,  3376182.21,1,0, -26292062.16637,1999-03-03T04:37:53.648,  1610
234.56388, 68.68360,   -4128.33, 432838.09,  3376185.62,1,0, -26292062.06637,1999-03-03T04:37:53.748,  1610
234.56151, 68.67860,   -4124.60, 432832.10,  3376190.45,1,0, -26292061.96637,1999-03-03T04:37:53.848,  1610
234.55914, 68.67370,   -4123.88, 432829.10,  3376192.27,1,0, -26292061.86636,1999-03-03T04:37:53.948,  1610
234.55677, 68.66870,   -4122.33, 432825.28,  3376194.92,1,0, -26292061.76636,1999-03-03T04:37:54.048,  1610
234.55440, 68.66370,   -4122.06, 432822.74,  3376196.29,1,0, -26292061.66636,1999-03-03T04:37:54.148,  1610
234.55202, 68.65870,   -4121.71, 432820.12,  3376197.73,1,0, -26292061.56635,1999-03-03T04:37:54.248,  1610
234.54965, 68.65380,   -4119.86, 432816.01,  3376200.68,1,0, -26292061.46635,1999-03-03T04:37:54.348,  1610
234.54728, 68.64880,   -4120.49, 432814.37,  3376201.15,1,0, -26292061.36634,1999-03-03T04:37:54.448,  1610
234.54491, 68.64380,   -4121.83, 432813.43,  3376200.91,1,0, -26292061.26634,1999-03-03T04:37:54.548,  1610
234.54253, 68.63890,   -4121.09, 432810.44,  3376202.75,1,0, -26292061.16634,1999-03-03T04:37:54.648,  1610
234.54016, 68.63390,   -4119.49, 432806.55,  3376205.45,1,0, -26292061.06633,1999-03-03T04:37:54.748,  1610
234.53779, 68.62890,   -4116.26, 432801.06,  3376209.77,1,0, -26292060.96633,1999-03-03T04:37:54.848,  1610
234.53542, 68.62390,   -4115.88, 432798.41,  3376211.25,1,0, -26292060.86633,1999-03-03T04:37:54.948,  1610
234.53305, 68.61900,   -4116.22, 432796.48,  3376212.01,1,0, -26292060.76632,1999-03-03T04:37:55.048,  1610
234.53067, 68.61400,   -4115.03, 432793.02,  3376214.30,1,0, -26292060.66632,1999-03-03T04:37:55.148,  1610
234.52830, 68.60900,   -4113.35, 432789.09,  3376217.08,1,0, -26292060.56631,1999-03-03T04:37:55.248,  1610
234.52593, 68.60410,   -4112.28, 432785.75,  3376219.25,1,0, -26292060.46631,1999-03-03T04:37:55.348,  1610
234.52356, 68.59910,   -4114.56, 432785.75,  3376218.07,1,0, -26292060.36631,1999-03-03T04:37:55.448,  1610
234.52104, 68.59420,   -4115.22, 432784.16,  3376218.50,1,0, -26292060.26630,1999-03-03T04:37:55.548,  1610
234.51872, 68.58920,   -4114.49, 432781.16,  3376220.33,1,0, -26292060.16630,1999-03-03T04:37:55.648,  1610
234.51641, 68.58420,   -4113.05, 432777.44,  3376222.87,1,0, -26292060.06630,1999-03-03T04:37:55.748,  1610
234.51410, 68.57920,   -4112.21, 432774.31,  3376224.82,1,0, -26292059.96629,1999-03-03T04:37:55.848,  1610
234.51179, 68.57420,   -4111.94, 432771.78,  3376226.19,1,0, -26292059.86629,1999-03-03T04:37:55.948,  1610
234.50947, 68.56930,   -4112.81, 432770.36,  3376226.42,1,0, -26292059.76628,1999-03-03T04:37:56.048,  1610
234.50716, 68.56430,   -4111.21, 432766.48,  3376229.13,1,0, -26292059.66628,1999-03-03T04:37:56.148,  1610
234.50485, 68.55930,   -4107.48, 432760.49,  3376233.96,1,0, -26292059.56628,1999-03-03T04:37:56.248,  1610
234.50254, 68.55430,   -4107.20, 432757.95,  3376235.34,1,0, -26292059.46627,1999-03-03T04:37:56.348,  1610
234.50022, 68.54930,   -4109.48, 432757.95,  3376234.17,1,0, -26292059.36627,1999-03-03T04:37:56.448,  1610
234.49791, 68.54440,   -4108.23, 432754.42,  3376236.52,1,0, -26292059.26627,1999-03-03T04:37:56.548,  1610
234.49560, 68.53940,   -4106.13, 432750.06,  3376239.73,1,0, -26292059.16626,1999-03-03T04:37:56.648,  1610
234.49329, 68.53440,   -4103.79, 432745.43,  3376243.17,1,0, -26292059.06626,1999-03-03T04:37:56.748,  1610
234.49097, 68.52940,   -4103.87, 432743.24,  3376244.19,1,0, -26292058.96625,1999-03-03T04:37:56.848,  1610
234.48866, 68.52440,   -4105.81, 432742.90,  3376243.36,1,0, -26292058.86625,1999-03-03T04:37:56.948,  1610
234.48635, 68.51950,   -4107.02, 432741.83,  3376243.25,1,0, -26292058.76625,1999-03-03T04:37:57.048,  1610
234.48172, 68.50950,   -4107.42, 432737.69,  3376245.06,1,0, -26292058.56624,1999-03-03T04:37:57.248,  1610
234.47941, 68.50450,   -4106.24, 432734.23,  3376247.34,1,0, -26292058.46624,1999-03-03T04:37:57.348,  1610
234.47710, 68.49950,   -4107.80, 432733.53,  3376246.88,1,0, -26292058.36623,1999-03-03T04:37:57.448,  1610
234.47486, 68.49450,   -4109.02, 432732.45,  3376246.77,1,0, -26292058.26623,1999-03-03T04:37:57.548,  1610
234.47257, 68.48950,   -4110.96, 432732.13,  3376245.94,1,0, -26292058.16622,1999-03-03T04:37:57.648,  1610
234.47029, 68.48460,   -4112.01, 432730.90,  3376246.00,1,0, -26292058.06622,1999-03-03T04:37:57.748,  1610
234.46800, 68.47960,   -4113.59, 432730.19,  3376245.53,1,0, -26292057.96622,1999-03-03T04:37:57.848,  1610
234.46572, 68.47460,   -4114.03, 432728.35,  3376246.20,1,0, -26292057.86621,1999-03-03T04:37:57.948,  1610
234.46343, 68.46960,   -4114.44, 432726.48,  3376246.90,1,0, -26292057.76621,1999-03-03T04:37:58.048,  1610
234.46115, 68.46460,   -4113.98, 432723.72,  3376248.47,1,0, -26292057.66621,1999-03-03T04:37:58.148,  1610
234.45886, 68.45960,   -4115.88, 432723.34,  3376247.68,1,0, -26292057.56620,1999-03-03T04:37:58.248,  1610
234.45658, 68.45470,   -4116.79, 432721.98,  3376247.88,1,0, -26292057.46620,1999-03-03T04:37:58.348,  1610
234.45430, 68.44970,   -4116.85, 432719.76,  3376248.93,1,0, -26292057.36619,1999-03-03T04:37:58.448,  1610
234.45201, 68.44470,   -4117.19, 432717.81,  3376249.69,1,0, -26292057.26619,1999-03-03T04:37:58.548,  1610
234.44973, 68.43970,   -4119.01, 432717.34,  3376248.98,1,0, -26292057.16619,1999-03-03T04:37:58.648,  1610
234.44744, 68.43470,   -4118.76, 432714.82,  3376250.34,1,0, -26292057.06618,1999-03-03T04:37:58.748,  1610
234.44516, 68.42970,   -4119.98, 432713.77,  3376250.23,1,0, -26292056.96618,1999-03-03T04:37:58.848,  1610
234.44287, 68.42480,   -4117.70, 432709.19,  3376253.62,1,0, -26292056.86618,1999-03-03T04:37:58.948,  1610
234.44059, 68.41980,   -4116.65, 432705.84,  3376255.78,1,0, -26292056.76617,1999-03-03T04:37:59.048,  1610
234.43830, 68.41480,   -4117.00, 432703.92,  3376256.54,1,0, -26292056.66617,1999-03-03T04:37:59.148,  1610
234.43602, 68.40980,   -4118.57, 432703.19,  3376256.08,1,0, -26292056.56616,1999-03-03T04:37:59.248,  1610
234.43373, 68.40480,   -4117.17, 432699.51,  3376258.59,1,0, -26292056.46616,1999-03-03T04:37:59.348,  1610
234.43145, 68.39980,   -4117.40, 432697.45,  3376259.47,1,0, -26292056.36616,1999-03-03T04:37:59.448,  1610
234.42934, 68.39480,   -4119.04, 432696.82,  3376258.94,1,0, -26292056.26615,1999-03-03T04:37:59.548,  1610
234.42702, 68.38990,   -4116.76, 432692.25,  3376262.33,1,0, -26292056.16615,1999-03-03T04:37:59.648,  1610
234.42471, 68.38490,   -4115.34, 432688.55,  3376264.86,1,0, -26292056.06614,1999-03-03T04:37:59.748,  1610
234.42239, 68.37990,   -4114.63, 432685.55,  3376266.68,1,0, -26292055.96614,1999-03-03T04:37:59.848,  1610
234.42008, 68.37490,   -4112.85, 432681.51,  3376269.57,1,0, -26292055.86614,1999-03-03T04:37:59.948,  1610
234.41776, 68.36990,   -4109.16, 432675.51,  3376274.38,1,0, -26292055.76613,1999-03-03T04:38:00.048,  1610
234.41545, 68.36490,   -4105.44, 432669.51,  3376279.21,1,0, -26292055.66613,1999-03-03T04:38:00.148,  1610
234.41313, 68.36000,   -4101.99, 432663.76,  3376283.77,1,0, -26292055.56613,1999-03-03T04:38:00.248,  1610
234.41082, 68.35500,   -4098.29, 432657.76,  3376288.58,1,0, -26292055.46612,1999-03-03T04:38:00.348,  1610
234.40850, 68.35000,   -4098.38, 432655.59,  3376289.60,1,0, -26292055.36612,1999-03-03T04:38:00.448,  1610
234.40619, 68.34500,   -4096.97, 432651.86,  3376292.13,1,0, -26292055.26611,1999-03-03T04:38:00.548,  1610
234.40387, 68.34000,   -4096.97, 432649.57,  3376293.24,1,0, -26292055.16611,1999-03-03T04:38:00.648,  1610
234.40156, 68.33510,   -4096.27, 432646.57,  3376295.05,1,0, -26292055.06611,1999-03-03T04:38:00.748,  1610
234.39924, 68.33010,   -4096.00, 432644.04,  3376296.43,1,0, -26292054.96610,1999-03-03T04:38:00.848,  1610
234.39693, 68.32510,   -4094.13, 432639.87,  3376299.41,1,0, -26292054.86610,1999-03-03T04:38:00.948,  1610
234.39462, 68.32010,   -4091.88, 432635.31,  3376302.78,1,0, -26292054.76610,1999-03-03T04:38:01.048,  1610
234.39230, 68.31510,   -4093.83, 432634.96,  3376301.94,1,0, -26292054.66609,1999-03-03T04:38:01.148,  1610
234.38999, 68.31010,   -4094.70, 432633.55,  3376302.18,1,0, -26292054.56609,1999-03-03T04:38:01.248,  1610
234.38767, 68.30520,   -4095.41, 432631.97,  3376302.58,1,0, -26292054.46608,1999-03-03T04:38:01.349,  1610
234.38536, 68.30020,   -4096.63, 432630.90,  3376302.47,1,0, -26292054.36608,1999-03-03T04:38:01.449,  1610
234.38297, 68.29520,   -4097.01, 432628.97,  3376303.21,1,0, -26292054.26608,1999-03-03T04:38:01.549,  1610
234.38066, 68.29020,   -4095.25, 432624.91,  3376306.09,1,0, -26292054.16607,1999-03-03T04:38:01.649,  1610
234.37835, 68.28520,   -4095.62, 432622.97,  3376306.84,1,0, -26292054.06607,1999-03-03T04:38:01.749,  1610
234.37604, 68.28020,   -4094.07, 432619.13,  3376309.50,1,0, -26292053.96607,1999-03-03T04:38:01.849,  1610
234.37373, 68.27530,   -4093.37, 432616.14,  3376311.32,1,0, -26292053.86606,1999-03-03T04:38:01.949,  1610
234.37142, 68.27030,   -4092.42, 432612.88,  3376313.39,1,0, -26292053.76606,1999-03-03T04:38:02.049,  1610
234.36911, 68.26530,   -4091.38, 432609.54,  3376315.54,1,0, -26292053.66605,1999-03-03T04:38:02.149,  1610
234.36680, 68.26030,   -4089.10, 432604.98,  3376318.94,1,0, -26292053.56605,1999-03-03T04:38:02.249,  1610
234.36449, 68.25530,   -4088.05, 432601.63,  3376321.11,1,0, -26292053.46605,1999-03-03T04:38:02.349,  1610
234.36218, 68.25030,   -4086.28, 432597.56,  3376323.99,1,0, -26292053.36604,1999-03-03T04:38:02.449,  1610
234.35987, 68.24540,   -4085.24, 432594.22,  3376326.15,1,0, -26292053.26604,1999-03-03T04:38:02.549,  1610
234.35756, 68.24040,   -4084.88, 432591.57,  3376327.62,1,0, -26292053.16604,1999-03-03T04:38:02.649,  1610
234.35525, 68.23540,   -4084.88, 432589.26,  3376328.74,1,0, -26292053.06603,1999-03-03T04:38:02.749,  1610
234.35294, 68.23040,   -4086.83, 432588.90,  3376327.91,1,0, -26292052.96603,1999-03-03T04:38:02.849,  1610
234.35063, 68.22540,   -4087.28, 432587.08,  3376328.57,1,0, -26292052.86602,1999-03-03T04:38:02.949,  1610
234.34832, 68.22040,   -4090.37, 432587.85,  3376326.60,1,0, -26292052.76602,1999-03-03T04:38:03.049,  1610
234.34601, 68.21550,   -4092.32, 432587.49,  3376325.77,1,0, -26292052.66602,1999-03-03T04:38:03.149,  1610
234.34139, 68.20550,   -4098.36, 432588.93,  3376321.96,1,0, -26292052.46601,1999-03-03T04:38:03.349,  1610
234.33908, 68.20050,   -4101.26, 432589.53,  3376320.18,1,0, -26292052.36601,1999-03-03T04:38:03.449,  1610
234.33691, 68.19540,   -4106.57, 432592.53,  3376315.99,1,0, -26292052.26600,1999-03-03T04:38:03.549,  1610
234.33458, 68.19050,   -4107.50, 432591.16,  3376316.18,1,0, -26292052.16600,1999-03-03T04:38:03.649,  1610
234.33225, 68.18550,   -4111.17, 432592.53,  3376313.62,1,0, -26292052.06599,1999-03-03T04:38:03.749,  1610
234.32992, 68.18060,   -4116.56, 432595.61,  3376309.35,1,0, -26292051.96599,1999-03-03T04:38:03.849,  1610
234.32758, 68.17560,   -4123.01, 432599.79,  3376304.01,1,0, -26292051.86599,1999-03-03T04:38:03.949,  1610
234.32525, 68.17060,   -4129.44, 432603.89,  3376298.70,1,0, -26292051.76598,1999-03-03T04:38:04.049,  1610
234.32292, 68.16570,   -4136.17, 432608.31,  3376293.09,1,0, -26292051.66598,1999-03-03T04:38:04.149,  1610
234.32059, 68.16070,   -4142.01, 432611.86,  3376288.36,1,0, -26292051.56598,1999-03-03T04:38:04.249,  1610
234.31826, 68.15570,   -4145.02, 432612.56,  3376286.47,1,0, -26292051.46597,1999-03-03T04:38:04.349,  1610
234.31593, 68.15080,   -4149.20, 432614.43,  3376283.40,1,0, -26292051.36597,1999-03-03T04:38:04.449,  1610
234.31360, 68.14580,   -4149.98, 432612.88,  3376283.74,1,0, -26292051.26596,1999-03-03T04:38:04.549,  1610
234.31127, 68.14090,   -4150.01, 432610.62,  3376284.82,1,0, -26292051.16596,1999-03-03T04:38:04.649,  1610
