long_East,lat_North,topography, MOLArange,  planet_rad, c,A,  Ephermis Time,            UTC,          Orbit
175.39332,-14.07120,   -1929.58, 379838.56,  3392380.98,1,0, -25125471.67253,1999-03-16T16:41:04.142, 10094
175.39264,-14.07630,   -1929.02, 379836.23,  3392380.78,1,0, -25125471.57253,1999-03-16T16:41:04.242, 10094
175.39196,-14.08140,   -1928.96, 379834.42,  3392380.09,1,0, -25125471.47253,1999-03-16T16:41:04.342, 10094
175.39128,-14.08650,   -1928.53, 379832.21,  3392379.76,1,0, -25125471.37252,1999-03-16T16:41:04.442, 10094
175.39060,-14.09160,   -1925.32, 379827.23,  3392382.22,1,0, -25125471.27252,1999-03-16T16:41:04.542, 10094
175.38992,-14.09680,   -1925.19, 379825.33,  3392381.59,1,0, -25125471.17252,1999-03-16T16:41:04.642, 10094
175.38924,-14.10190,   -1924.44, 379822.81,  3392381.58,1,0, -25125471.07251,1999-03-16T16:41:04.742, 10094
175.38856,-14.10700,   -1918.64, 379815.27,  3392386.63,1,0, -25125470.97251,1999-03-16T16:41:04.842, 10094
175.38788,-14.11210,   -1920.06, 379814.91,  3392384.45,1,0, -25125470.87250,1999-03-16T16:41:04.942, 10094
175.38720,-14.11720,   -1919.16, 379812.24,  3392384.59,1,0, -25125470.77250,1999-03-16T16:41:05.042, 10094
175.38652,-14.12230,   -1920.22, 379811.53,  3392382.78,1,0, -25125470.67250,1999-03-16T16:41:05.142, 10094
175.38585,-14.12740,   -1919.37, 379808.91,  3392382.87,1,0, -25125470.57249,1999-03-16T16:41:05.242, 10094
175.38517,-14.13260,   -1919.35, 379807.13,  3392382.13,1,0, -25125470.47249,1999-03-16T16:41:05.342, 10094
175.38448,-14.13770,   -1917.25, 379803.26,  3392383.48,1,0, -25125470.37248,1999-03-16T16:41:05.442, 10094
175.38380,-14.14280,   -1916.88, 379801.13,  3392383.09,1,0, -25125470.27248,1999-03-16T16:41:05.542, 10094
175.38312,-14.14790,   -1916.37, 379798.87,  3392382.84,1,0, -25125470.17248,1999-03-16T16:41:05.642, 10094
175.38244,-14.15300,   -1913.92, 379794.64,  3392384.53,1,0, -25125470.07247,1999-03-16T16:41:05.742, 10094
175.38176,-14.15820,   -1915.75, 379794.72,  3392381.95,1,0, -25125469.97247,1999-03-16T16:41:05.842, 10094
175.38108,-14.16330,   -1914.42, 379791.61,  3392382.52,1,0, -25125469.87247,1999-03-16T16:41:05.942, 10094
175.38040,-14.16840,   -1914.37, 379789.81,  3392381.81,1,0, -25125469.77246,1999-03-16T16:41:06.042, 10094
175.37972,-14.17350,   -1913.54, 379787.22,  3392381.88,1,0, -25125469.67246,1999-03-16T16:41:06.142, 10094
175.37904,-14.17860,   -1911.08, 379782.98,  3392383.59,1,0, -25125469.57245,1999-03-16T16:41:06.242, 10094
175.37836,-14.18370,   -1913.21, 379783.35,  3392380.70,1,0, -25125469.47245,1999-03-16T16:41:06.342, 10094
175.37768,-14.18890,   -1911.27, 379779.65,  3392381.88,1,0, -25125469.37245,1999-03-16T16:41:06.442, 10094
175.37699,-14.19400,   -1907.05, 379773.66,  3392385.34,1,0, -25125469.27244,1999-03-16T16:41:06.542, 10094
175.37631,-14.19910,   -1910.00, 379774.84,  3392381.64,1,0, -25125469.17244,1999-03-16T16:41:06.642, 10094
175.37563,-14.20420,   -1910.57, 379773.65,  3392380.31,1,0, -25125469.07244,1999-03-16T16:41:06.742, 10094
175.37495,-14.20930,   -1910.93, 379772.24,  3392379.19,1,0, -25125468.97243,1999-03-16T16:41:06.842, 10094
175.37427,-14.21440,   -1912.54, 379772.09,  3392376.82,1,0, -25125468.87243,1999-03-16T16:41:06.942, 10094
175.37359,-14.21960,   -1911.10, 379768.87,  3392377.51,1,0, -25125468.77242,1999-03-16T16:41:07.042, 10094
175.37291,-14.22470,   -1910.23, 379766.25,  3392377.62,1,0, -25125468.67242,1999-03-16T16:41:07.142, 10094
175.37223,-14.22980,   -1910.38, 379764.66,  3392376.71,1,0, -25125468.57242,1999-03-16T16:41:07.242, 10094
175.37155,-14.23490,   -1907.76, 379760.25,  3392378.57,1,0, -25125468.47241,1999-03-16T16:41:07.342, 10094
175.37019,-14.24520,   -1906.33, 379755.29,  3392378.49,1,0, -25125468.27242,1999-03-16T16:41:07.542, 10094
175.36951,-14.25030,   -1905.00, 379752.20,  3392379.06,1,0, -25125468.17241,1999-03-16T16:41:07.642, 10094
175.36883,-14.25540,   -1901.66, 379747.12,  3392381.64,1,0, -25125468.07241,1999-03-16T16:41:07.742, 10094
175.36815,-14.26050,   -1902.62, 379746.29,  3392379.93,1,0, -25125467.97241,1999-03-16T16:41:07.842, 10094
175.36746,-14.26560,   -1902.60, 379744.53,  3392379.19,1,0, -25125467.87240,1999-03-16T16:41:07.942, 10094
175.36678,-14.27070,   -1900.86, 379741.00,  3392380.17,1,0, -25125467.77240,1999-03-16T16:41:08.042, 10094
175.36610,-14.27580,   -1899.29, 379737.68,  3392380.98,1,0, -25125467.67240,1999-03-16T16:41:08.142, 10094
175.36541,-14.28090,   -1896.50, 379733.12,  3392383.02,1,0, -25125467.57239,1999-03-16T16:41:08.242, 10094
175.36473,-14.28610,   -1892.99, 379727.84,  3392385.77,1,0, -25125467.47239,1999-03-16T16:41:08.342, 10094
175.36405,-14.29120,   -1891.52, 379724.62,  3392386.48,1,0, -25125467.37238,1999-03-16T16:41:08.442, 10094
175.36336,-14.29630,   -1889.57, 379720.92,  3392387.67,1,0, -25125467.27238,1999-03-16T16:41:08.542, 10094
175.36268,-14.30140,   -1888.72, 379718.28,  3392387.77,1,0, -25125467.17238,1999-03-16T16:41:08.642, 10094
175.36200,-14.30650,   -1885.50, 379713.30,  3392390.23,1,0, -25125467.07237,1999-03-16T16:41:08.742, 10094
175.36132,-14.31160,   -1879.86, 379705.91,  3392395.11,1,0, -25125466.97237,1999-03-16T16:41:08.842, 10094
175.36063,-14.31670,   -1882.00, 379706.29,  3392392.21,1,0, -25125466.87237,1999-03-16T16:41:08.942, 10094
175.35995,-14.32180,   -1898.04, 379720.57,  3392375.42,1,0, -25125466.77236,1999-03-16T16:41:09.042, 10094
175.35927,-14.32690,   -1915.08, 379735.85,  3392357.62,1,0, -25125466.67236,1999-03-16T16:41:09.142, 10094
175.35858,-14.33210,   -1925.52, 379744.52,  3392346.42,1,0, -25125466.57235,1999-03-16T16:41:09.242, 10094
175.35790,-14.33720,   -1920.43, 379737.68,  3392350.75,1,0, -25125466.47235,1999-03-16T16:41:09.342, 10094
175.35722,-14.34230,   -1909.51, 379724.96,  3392360.92,1,0, -25125466.37235,1999-03-16T16:41:09.442, 10094
175.35653,-14.34740,   -1896.25, 379709.96,  3392373.42,1,0, -25125466.27234,1999-03-16T16:41:09.542, 10094
175.35585,-14.35250,   -1890.09, 379702.03,  3392378.82,1,0, -25125466.17234,1999-03-16T16:41:09.642, 10094
175.35517,-14.35760,   -1898.37, 379708.55,  3392369.79,1,0, -25125466.07233,1999-03-16T16:41:09.742, 10094
175.35448,-14.36270,   -1899.72, 379708.14,  3392367.68,1,0, -25125465.97233,1999-03-16T16:41:09.842, 10094
175.35380,-14.36780,   -1901.75, 379708.40,  3392364.89,1,0, -25125465.87233,1999-03-16T16:41:09.942, 10094
175.35312,-14.37290,   -1901.71, 379706.60,  3392364.17,1,0, -25125465.77232,1999-03-16T16:41:10.042, 10094
175.35243,-14.37800,   -1901.55, 379704.70,  3392363.57,1,0, -25125465.67232,1999-03-16T16:41:10.142, 10094
