long_east_deg,lat_north_deg,altitude_m,radius_m
137.37669,-4.0942,-2659.75,3393004.81
137.37603,-4.0993,-2670.05,3392994.23
137.37537,-4.1044,-2665.54,3392998.45
137.37471,-4.1095,-2687.89,3392975.82
137.37405,-4.1146,-2683.05,3392980.38
137.37339,-4.1197,-2655.12,3393008.02
137.37273,-4.1247,-2668.8,3392994.06
137.37207,-4.1298,-2705.39,3392957.19
137.3714,-4.1349,-2774.8,3392887.49
137.37074,-4.14,-2835.22,3392826.79
137.37008,-4.1451,-2865.73,3392795.99
137.36942,-4.1502,-2847.08,3392814.36
137.36876,-4.1552,-2885.58,3392775.58
137.3681,-4.1603,-2940.71,3392720.16
137.36744,-4.1654,-3000.09,3392660.5
137.36678,-4.1705,-3002.47,3392657.84
137.36612,-4.1756,-2996.25,3392663.77
137.36546,-4.1807,-2915.4,3392744.34
137.3648,-4.1857,-2903.54,3392755.92
137.36413,-4.1908,-3028.85,3392630.32
137.36347,-4.1959,-3086.03,3392572.85
137.36281,-4.201,-3115.76,3392542.83
137.36215,-4.2061,-3142.85,3392515.46
137.36149,-4.2111,-3249.83,3392408.19
137.36083,-4.2162,-3390.18,3392267.55
137.36017,-4.2213,-3523.89,3392133.55
137.35952,-4.2264,-3658.71,3391998.45
137.35886,-4.2315,-3766.01,3391890.86
137.3582,-4.2366,-3837.74,3391818.84
137.35754,-4.2417,-3892.19,3391764.11
137.35688,-4.2467,-3940.01,3391716.0
137.35622,-4.2518,-3973.47,3391682.25
137.35556,-4.2569,-3988.65,3391666.79
137.3549,-4.262,-4006.84,3391648.31
137.35425,-4.2671,-4019.97,3391634.89
137.35359,-4.2722,-4034.07,3391620.5
137.35293,-4.2773,-4043.97,3391610.32
137.35227,-4.2824,-4052.61,3391601.39
137.35161,-4.2875,-4050.97,3391602.74
137.35097,-4.2926,-4008.31,3391645.11
137.35032,-4.2977,-3959.52,3391693.61
137.34966,-4.3028,-3941.88,3391710.96
137.34901,-4.3079,-4049.57,3391602.98
137.34835,-4.313,-4099.33,3391552.93
137.34704,-4.3232,-4154.56,3391497.12
