long_east_deg,lat_north_deg,altitude_m,radius_m,roughness_rms_m
137.37669,-4.0942,-2659.75,3393004.81,4.567925216402993
137.37603,-4.0993,-2670.05,3392994.23,11.753654672984007
137.37537,-4.1044,-2665.54,3392998.45,14.54160117691337
137.37471,-4.1095,-2687.89,3392975.82,14.112530050795694
137.37405,-4.1146,-2683.05,3392980.38,20.988679851108103
137.37339,-4.1197,-2655.12,3393008.02,33.483988186758566
137.37273,-4.1247,-2668.8,3392994.06,39.07295437931922
137.37207,-4.1298,-2705.39,3392957.19,26.97831529826416
137.3714,-4.1349,-2774.8,3392887.49,23.409854124610042
137.37074,-4.14,-2835.22,3392826.79,29.957550890384347
137.37008,-4.1451,-2865.73,3392795.99,27.390550999142494
137.36942,-4.1502,-2847.08,3392814.36,24.792245695959448
137.36876,-4.1552,-2885.58,3392775.58,24.343138145790547
137.3681,-4.1603,-2940.71,3392720.16,25.52923980791658
137.36744,-4.1654,-3000.09,3392660.5,39.41818858808742
137.36678,-4.1705,-3002.47,3392657.84,42.74470112858584
137.36612,-4.1756,-2996.25,3392663.77,38.41454312268407
137.36546,-4.1807,-2915.4,3392744.34,46.08240670997679
137.3648,-4.1857,-2903.54,3392755.92,46.349374494063966
137.36413,-4.1908,-3028.85,3392630.32,37.77406457275542
137.36347,-4.1959,-3086.03,3392572.85,27.555096549811196
137.36281,-4.201,-3115.76,3392542.83,38.39939027308366
137.36215,-4.2061,-3142.85,3392515.46,54.597734446001056
137.36149,-4.2111,-3249.83,3392408.19,52.89386309504248
137.36083,-4.2162,-3390.18,3392267.55,34.556845316029104
137.36017,-4.2213,-3523.89,3392133.55,23.99975975696867
137.35952,-4.2264,-3658.71,3391998.45,35.37289306642282
137.35886,-4.2315,-3766.01,3391890.86,37.67658066523742
137.3582,-4.2366,-3837.74,3391818.84,33.273166036985664
137.35754,-4.2417,-3892.19,3391764.11,29.0899192037007
137.35688,-4.2467,-3940.01,3391716.0,23.096557413858662
137.35622,-4.2518,-3973.47,3391682.25,17.83567465724049
137.35556,-4.2569,-3988.65,3391666.79,10.709742711536911
137.3549,-4.262,-4006.84,3391648.31,4.79601765747591
137.35425,-4.2671,-4019.97,3391634.89,5.978366733854865
137.35359,-4.2722,-4034.07,3391620.5,14.521643596200558
137.35293,-4.2773,-4043.97,3391610.32,31.90354199511102
137.35227,-4.2824,-4052.61,3391601.39,37.50175677326461
137.35161,-4.2875,-4050.97,3391602.74,35.42391984093334
137.35097,-4.2926,-4008.31,3391645.11,55.402989162186174
137.35032,-4.2977,-3959.52,3391693.61,62.78166567921124
137.34966,-4.3028,-3941.88,3391710.96,56.851691073161845
137.34901,-4.3079,-4049.57,3391602.98,39.616421015121034
137.34835,-4.313,-4099.33,3391552.93,31.5636776423265
137.34704,-4.3232,-4154.56,3391497.12,16.18729940110567
137.34639,-4.3283,-4176.85,3391474.54,17.274111034520836
137.34573,-4.3334,-4198.46,3391452.64,22.92529811849231
137.34508,-4.3385,-4212.44,3391438.37,43.930192193246384
137.34442,-4.3436,-4218.16,3391432.35,20.33482071584883
137.34377,-4.3487,-4222.3,3391427.92,9.520335098046525
137.34312,-4.3538,-4228.86,3391421.07,9.330104553866121
137.34246,-4.3589,-4234.73,3391414.91,9.452153404238251
137.34181,-4.364,-4241.21,3391408.14,9.465780989740127
137.34115,-4.3691,-4253.3,3391395.76,9.027878897739216
137.3405,-4.3742,-4260.87,3391387.9,8.796358810008115
137.33984,-4.3793,-4270.8,3391377.68,8.943538598383952
137.33919,-4.3844,-4282.63,3391365.56,8.298100693632367
137.33853,-4.3895,-4285.31,3391362.59,8.819736162285556
137.3379,-4.3946,-4294.15,3391353.45,8.645199669296387
137.33724,-4.3997,-4305.9,3391341.4,8.656370698833545
137.33658,-4.4048,-4317.63,3391329.38,8.600122434787371
137.33592,-4.4099,-4329.39,3391317.33,9.403735131546828
137.33527,-4.415,-4340.77,3391305.65,9.259531705955897
137.33461,-4.4201,-4344.34,3391301.79,9.429024448571768
137.33395,-4.4252,-4351.98,3391293.86,8.897082961565635
137.33329,-4.4303,-4353.9,3391291.64,8.608981927812174
137.33263,-4.4354,-4355.48,3391289.77,8.583414492548783
137.33197,-4.4405,-4359.87,3391285.09,8.937550337100657
137.33131,-4.4456,-4361.59,3391283.07,8.64521956317448
137.33066,-4.4507,-4361.67,3391282.7,8.52156133720553
137.33,-4.4558,-4358.78,3391285.3,8.361225431321085
137.32934,-4.4609,-4375.12,3391268.66,8.264738400481614
137.32868,-4.466,-4381.54,3391261.95,7.8832626552855
137.32802,-4.4711,-4385.38,3391257.82,6.969909460613184
137.32736,-4.4761,-4387.75,3391255.15,6.414917354666529
137.3267,-4.4812,-4392.05,3391250.56,5.21339012966089
137.32605,-4.4863,-4397.46,3391244.86,1.4107369248495412
137.32539,-4.4914,-4402.84,3391239.18,1.181308796051801
137.32469,-4.4965,-4404.5,3391237.23,0.9566207819234336
137.32403,-4.5016,-4412.02,3391229.41,1.0858029449010598
137.32336,-4.5066,-4416.32,3391224.82,1.4398879620665992
137.32269,-4.5117,-4418.33,3391222.51,1.5712768936231183
137.32202,-4.5168,-4421.1,3391219.45,1.5647069824638438
137.32136,-4.5219,-4428.07,3391212.18,1.535028196443172
137.32069,-4.527,-4432.56,3391207.39,1.7312543643038538
137.32002,-4.532,-4437.62,3391202.04,1.7340273807946909
137.31935,-4.5371,-4440.49,3391198.87,1.3932992545025449
137.31869,-4.5422,-4442.88,3391196.19,1.662658671208115
137.31802,-4.5473,-4448.2,3391190.57,1.7079040805445425
137.31735,-4.5524,-4448.37,3391190.11,1.6531554675288846
137.31668,-4.5575,-4448.1,3391190.08,1.7474176590766415
137.31602,-4.5625,-4456.87,3391181.02,1.8159377439377273
137.31535,-4.5676,-4459.21,3391178.38,2.1373150279069715
137.31468,-4.5727,-4462.75,3391174.54,2.413477209878292
137.31401,-4.5778,-4464.71,3391172.29,2.0206210949817454
137.31335,-4.5829,-4464.09,3391172.61,1.7446609080778643
137.31268,-4.588,-4463.48,3391172.93,1.0658011682660633
137.31201,-4.593,-4464.4,3391171.71,0.9912806179684264
137.31131,-4.5981,-4464.07,3391171.75,1.0852106124932386
137.31065,-4.6032,-4462.07,3391173.45,1.3259718987762146
137.30999,-4.6083,-4464.02,3391171.2,1.5325013628458322
137.30933,-4.6134,-4464.21,3391170.71,2.653325534150873
137.30866,-4.6185,-4467.38,3391167.24,3.3272439094163575
137.308,-4.6235,-4466.7,3391167.62,3.514862678469162
137.30734,-4.6286,-4466.85,3391167.17,4.34524734589266
137.30668,-4.6337,-4471.15,3391162.58,4.948619535500432
137.30602,-4.6388,-4469.32,3391164.11,4.982091087552138
137.30536,-4.6439,-4473.3,3391159.83,4.798822958427232
137.3047,-4.649,-4468.8,3391164.03,4.5137318555841714
