long_east_deg,lat_north_deg,altitude_m,radius_m,roughness_rms_m
136.10379,4.9985,-2692.89,3392968.09,1.6647547910599338
136.10312,4.9935,-2689.73,3392971.56,1.7572365904837868
136.10245,4.9884,-2687.41,3392974.18,2.240156673337033
136.10177,4.9833,-2681.55,3392980.35,2.388801989717899
136.1011,4.9782,-2683.11,3392979.1,2.3009588822546605
136.10043,4.9731,-2684.74,3392977.78,1.9601774265569774
136.09976,4.968,-2685.3,3392977.53,1.5081952888897843
136.09912,4.9629,-2686.73,3392976.4,1.4508129181337885
136.09846,4.9578,-2686.82,3392976.62,1.3095620226012348
136.0978,4.9527,-2686.31,3392977.43,1.310767362480229
136.09714,4.9476,-2684.69,3392979.35,1.245475113129389
136.09648,4.9425,-2684.96,3392979.39,1.4001753841218387
136.09582,4.9374,-2684.8,3392979.85,1.0964439068824063
136.09516,4.9323,-2684.18,3392980.78,2.6924901986073575
136.0945,4.9272,-2682.61,3392982.65,2.614712004965805
136.09384,4.9221,-2679.31,3392986.25,3.3922191306408283
136.09318,4.917,-2669.46,3392996.41,3.8483039632759333
136.09252,4.9119,-2672.65,3392993.52,3.590422038933845
136.09186,4.9068,-2677.41,3392989.07,2.647607099452487
136.0912,4.9017,-2679.91,3392986.87,1.6559593027676953
136.09054,4.8966,-2681.62,3392985.46,1.2401404894541472
136.08989,4.8915,-2683.23,3392984.16,1.319246840005048
136.08923,4.8864,-2684.55,3392983.14,0.949351103035288
136.08857,4.8813,-2684.48,3392983.52,0.9038586549152267
136.08791,4.8762,-2682.83,3392985.47,0.9202938070051832
136.08725,4.8711,-2684.46,3392984.14,0.9994678137979401
136.08659,4.866,-2685.19,3392983.72,0.995192977834885
136.08593,4.8609,-2685.36,3392983.84,1.088855307896266
136.08527,4.8558,-2686.32,3392983.18,0.8916436884880153
136.08461,4.8507,-2685.47,3392984.33,0.7435453841356514
136.08395,4.8456,-2687.35,3392982.75,0.8290833610351684
136.08329,4.8405,-2685.35,3392985.05,0.7727000953015826
136.08263,4.8354,-2686.08,3392984.62,0.721073825152253
136.08197,4.8303,-2685.44,3392985.56,0.7435730603230195
136.08131,4.8252,-2684.2,3392987.09,0.7049955432191383
136.08065,4.8201,-2685.15,3392986.44,0.7666046063318618
136.07999,4.815,-2685.23,3392986.66,0.7974257269199894
136.07933,4.8099,-2684.46,3392987.73,0.8489429245377473
136.07867,4.8048,-2684.65,3392987.84,0.8406527809606883
136.07801,4.7997,-2684.14,3392988.65,0.9704667242625942
136.07735,4.7946,-2683.19,3392989.89,0.9511637007662567
136.07669,4.7895,-2685.33,3392988.05,0.9859235283292956
136.07537,4.7793,-2685.69,3392988.29,0.8615432955185159
136.07471,4.7742,-2684.37,3392989.91,0.7216696114926051
136.07405,4.7691,-2685.31,3392989.27,0.7224199456388948
136.07339,4.764,-2684.82,3392990.06,0.7146658338230669
136.07271,4.7589,-2684.64,3392990.53,0.790616719896393
136.07203,4.7538,-2684.53,3392990.93,0.7551612521527147
136.07136,4.7488,-2683.24,3392992.51,0.7530391608211626
136.07069,4.7437,-2683.73,3392992.32,0.7696810306773341
136.07002,4.7386,-2682.39,3392993.95,0.7194122256216345
136.06935,4.7335,-2681.88,3392994.75,0.675452138723277
136.06867,4.7285,-2681.35,3392995.57,0.6602609497807808
136.068,4.7234,-2680.84,3392996.37,0.6060685716438725
136.06733,4.7183,-2680.59,3392996.91,0.5861136017305852
136.06666,4.7133,-2680.42,3392997.37,0.35875034783680293
136.06598,4.7082,-2679.67,3392998.42,0.33412290716822124
136.06531,4.7031,-2679.9,3392998.48,0.34784401363257883
136.06464,4.698,-2678.18,3393000.49,1.8206108211627838
136.06397,4.693,-2678.04,3393000.92,1.865451828004267
136.0633,4.6879,-2678.47,3393000.78,1.9751135166642637
136.06262,4.6828,-2668.37,3393011.17,2.0480961143424454
