long_east_deg,lat_north_deg,altitude_m,radius_m,roughness_rms_m
77.83429,17.944,-2437.81,3392149.1,5.321522382308146
77.83359,17.9491,-2381.5,3392204.55,13.574135460359676
77.8329,17.9541,-2343.15,3392242.04,14.982238043382148
77.8322,17.9592,-2283.44,3392300.88,19.32302739406168
77.8315,17.9643,-2296.08,3392287.38,19.00061642717758
77.83081,17.9693,-2268.08,3392314.52,16.32861305805837
77.83011,17.9744,-2271.47,3392310.27,9.637522480316761
77.82941,17.9795,-2264.2,3392316.67,13.676780461995065
77.82871,17.9845,-2271.12,3392308.89,12.62637060993054
77.82802,17.9896,-2268.33,3392310.82,13.099024572180449
77.82732,17.9947,-2214.55,3392363.73,13.526137431937364
77.82662,17.9997,-2233.57,3392343.85,16.014282013044898
77.82593,18.0048,-2251.09,3392325.47,19.778874065533724
77.82523,18.0099,-2245.62,3392330.07,21.06158435472897
77.82453,18.0149,-2213.39,3392361.44,37.079177275821145
77.82382,18.0199,-2159.94,3392414.03,47.93354817298783
77.82312,18.025,-2129.46,3392443.65,43.33765435088012
77.82241,18.03,-2222.58,3392349.67,29.276513870337315
77.82171,18.0351,-2291.41,3392279.98,20.425785294973227
77.82101,18.0401,-2312.37,3392258.16,22.364900808477856
77.82031,18.0452,-2337.64,3392232.03,12.947354181924148
77.8196,18.0502,-2368.34,3392200.47,10.797558296602098
77.8189,18.0553,-2384.94,3392183.0,15.033548069298469
77.8182,18.0604,-2414.12,3392152.96,21.058148464603132
77.8175,18.0654,-2454.33,3392111.89,20.261480941608657
77.8168,18.0704,-2501.2,3392064.16,20.869386275133152
77.81609,18.0755,-2561.02,3392003.48,22.742715960135993
77.81539,18.0805,-2581.1,3391982.54,22.706945443076144
77.81469,18.0856,-2607.94,3391954.83,10.869716515620764
77.81399,18.0906,-2635.01,3391926.9,8.162359419478552
77.81328,18.0957,-2661.85,3391899.2,12.049203495498086
77.81258,18.1008,-2674.3,3391885.89,13.063808350333264
77.81188,18.1058,-2680.47,3391878.86,12.94261081058514
77.81117,18.1109,-2679.56,3391878.91,11.408996770769912
77.81047,18.1159,-2671.81,3391885.8,10.016584723978493
77.80977,18.121,-2653.06,3391903.7,10.469656091932924
77.80907,18.126,-2639.46,3391916.44,11.272436315178368
77.80836,18.1311,-2649.04,3391905.99,9.686207291576784
