long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg
77.83429,17.944,-2437.81,3392149.1,9.071066413521848
77.83359,17.9491,-2381.5,3392204.55,7.5172625580543055
77.8329,17.9541,-2343.15,3392242.04,6.868370526951536
77.8322,17.9592,-2283.44,3392300.88,5.375526740086061
77.8315,17.9643,-2296.08,3392287.38,3.365120686865016
77.83081,17.9693,-2268.08,3392314.52,1.8246665323804605
77.83011,17.9744,-2271.47,3392310.27,0.7596029865888592
77.82941,17.9795,-2264.2,3392316.67,1.313462188717898
77.82871,17.9845,-2271.12,3392308.89,1.4963185660270297
77.82802,17.9896,-2268.33,3392310.82,1.3748430602394757
77.82732,17.9947,-2214.55,3392363.73,1.5203749159330417
77.82662,17.9997,-2233.57,3392343.85,2.3249501651101734
77.82593,18.0048,-2251.09,3392325.47,3.396365238308373
77.82523,18.0099,-2245.62,3392330.07,3.453616681918862
77.82453,18.0149,-2213.39,3392361.44,1.2583164403742373
77.82382,18.0199,-2159.94,3392414.03,2.8851338342510258
77.82312,18.025,-2129.46,3392443.65,6.047689949072776
77.82241,18.03,-2222.58,3392349.67,7.389808646555914
77.82171,18.0351,-2291.41,3392279.98,7.4024444691680324
77.82101,18.0401,-2312.37,3392258.16,6.278290471346791
77.82031,18.0452,-2337.64,3392232.03,4.859009025576213
77.8196,18.0502,-2368.34,3392200.47,4.808388638130031
77.8189,18.0553,-2384.94,3392183.0,5.649614453483709
77.8182,18.0604,-2414.12,3392152.96,7.113500969861975
77.8175,18.0654,-2454.33,3392111.89,8.23635206434981
77.8168,18.0704,-2501.2,3392064.16,8.264384905212838
77.81609,18.0755,-2561.02,3392003.48,7.624099087186633
77.81539,18.0805,-2581.1,3391982.54,6.69498431759535
77.81469,18.0856,-2607.94,3391954.83,5.062813618937932
77.81399,18.0906,-2635.01,3391926.9,4.008938049189006
77.81328,18.0957,-2661.85,3391899.2,3.0866941843506046
77.81258,18.1008,-2674.3,3391885.89,2.022575571797433
