long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg
175.39332,-14.0712,-1929.58,3392380.98,0.33318709420238574
175.39264,-14.0763,-1929.02,3392380.78,0.3314553149699067
175.39196,-14.0814,-1928.96,3392380.09,0.31997123136957567
175.39128,-14.0865,-1928.53,3392379.76,0.35540291974011373
175.3906,-14.0916,-1925.32,3392382.22,0.40537387682922804
175.38992,-14.0968,-1925.19,3392381.59,0.4141850792341591
175.38924,-14.1019,-1924.44,3392381.58,0.3787471609582925
175.38856,-14.107,-1918.64,3392386.63,0.35110095990416196
175.38788,-14.1121,-1920.06,3392384.45,0.32442020411684364
175.3872,-14.1172,-1919.16,3392384.59,0.26632565540873726
175.38652,-14.1223,-1920.22,3392382.78,0.2269355563554634
175.38585,-14.1274,-1919.37,3392382.87,0.20972893759275688
175.38517,-14.1326,-1919.35,3392382.13,0.22578759977181873
175.38448,-14.1377,-1917.25,3392383.48,0.2670899624702198
175.3838,-14.1428,-1916.88,3392383.09,0.3284347045122407
175.38312,-14.1479,-1916.37,3392382.84,0.3214304826643271
175.38244,-14.153,-1913.92,3392384.53,0.3275048448484555
175.38176,-14.1582,-1915.75,3392381.95,0.3008987963768616
175.38108,-14.1633,-1914.42,3392382.52,0.28288109440774534
175.3804,-14.1684,-1914.37,3392381.81,0.2780500231796955
175.37972,-14.1735,-1913.54,3392381.88,0.26554822671838996
175.37904,-14.1786,-1911.08,3392383.59,0.28632988471982224
175.37836,-14.1837,-1913.21,3392380.7,0.2643491155225983
175.37768,-14.1889,-1911.27,3392381.88,0.23464450114003216
175.37699,-14.194,-1907.05,3392385.34,0.19308267319846667
175.37631,-14.1991,-1910.0,3392381.64,0.1593142969174876
175.37563,-14.2042,-1910.57,3392380.31,0.14029310900414288
175.37495,-14.2093,-1910.93,3392379.19,0.07039788995389874
175.37427,-14.2144,-1912.54,3392376.82,0.0355219702955893
175.37359,-14.2196,-1911.1,3392377.51,0.07923805623525208
175.37291,-14.2247,-1910.23,3392377.62,0.1193036759644405
175.37223,-14.2298,-1910.38,3392376.71,0.15582743173597405
175.37155,-14.2349,-1907.76,3392378.57,0.18461119196408948
175.37019,-14.2452,-1906.33,3392378.49,0.28019420712903687
175.36951,-14.2503,-1905.0,3392379.06,0.29429014642870455
175.36883,-14.2554,-1901.66,3392381.64,0.28456686966327677
175.36815,-14.2605,-1902.62,3392379.93,0.28853622094929576
175.36746,-14.2656,-1902.6,3392379.19,0.2998727955194968
