long_East,lat_North,topography, MOLArange,  planet_rad, c,A,  Ephermis Time,            UTC,          Orbit
270.99937, -0.66950,    2971.88, 377393.20,  3399714.38,1,0, -25415203.77499,1999-03-13T08:12:12.039, 10053
270.99870, -0.67470,    2973.30, 377389.12,  3399715.75,1,0, -25415203.67498,1999-03-13T08:12:12.139, 10053
270.99803, -0.67980,    2971.85, 377387.91,  3399714.26,1,0, -25415203.57498,1999-03-13T08:12:12.239, 10053
270.99736, -0.68490,    2972.03, 377385.09,  3399714.39,1,0, -25415203.47497,1999-03-13T08:12:12.339, 10053
270.99668, -0.69000,    2971.33, 377383.12,  3399713.64,1,0, -25415203.37497,1999-03-13T08:12:12.439, 10053
270.99601, -0.69500,    2971.64, 377380.15,  3399713.91,1,0, -25415203.27497,1999-03-13T08:12:12.539, 10053
270.99534, -0.70010,    2971.65, 377377.51,  3399713.86,1,0, -25415203.17496,1999-03-13T08:12:12.639, 10053
270.99467, -0.70520,    2971.22, 377375.29,  3399713.38,1,0, -25415203.07496,1999-03-13T08:12:12.739, 10053
270.99399, -0.71030,    2971.63, 377372.22,  3399713.73,1,0, -25415202.97495,1999-03-13T08:12:12.840, 10053
270.99332, -0.71540,    2970.98, 377370.25,  3399713.02,1,0, -25415202.87495,1999-03-13T08:12:12.940, 10053
270.99265, -0.72050,    2968.15, 377370.40,  3399710.14,1,0, -25415202.77495,1999-03-13T08:12:13.040, 10053
270.99198, -0.72560,    2967.16, 377368.76,  3399709.09,1,0, -25415202.67494,1999-03-13T08:12:13.140, 10053
270.99131, -0.73070,    2965.25, 377368.02,  3399707.12,1,0, -25415202.57494,1999-03-13T08:12:13.240, 10053
270.99063, -0.73580,    2964.77, 377365.85,  3399706.59,1,0, -25415202.47494,1999-03-13T08:12:13.340, 10053
270.98996, -0.74090,    2965.88, 377362.12,  3399707.64,1,0, -25415202.37493,1999-03-13T08:12:13.440, 10053
270.98929, -0.74600,    2965.47, 377359.85,  3399707.17,1,0, -25415202.27493,1999-03-13T08:12:13.540, 10053
270.98862, -0.75110,    2967.02, 377355.67,  3399708.66,1,0, -25415202.17492,1999-03-13T08:12:13.640, 10053
