long_East,lat_North,topography, MOLArange,  planet_rad, c,A,  Ephermis Time,            UTC,          Orbit
186.63831,-43.00190,     677.63, 367612.52,  3388050.87,1,0, -26282800.81787,1999-03-03T07:12:14.997,  1612
186.63741,-43.00700,     678.42, 367611.07,  3388050.16,1,0, -26282800.71786,1999-03-03T07:12:15.097,  1612
186.63652,-43.01220,     698.45, 367590.34,  3388068.69,1,0, -26282800.61786,1999-03-03T07:12:15.197,  1612
186.63562,-43.01730,     676.30, 367611.80,  3388045.05,1,0, -26282800.51785,1999-03-03T07:12:15.297,  1612
186.63473,-43.02250,     677.98, 367609.43,  3388045.23,1,0, -26282800.41785,1999-03-03T07:12:15.397,  1612
186.63294,-43.03280,     680.27, 367605.79,  3388044.53,1,0, -26282800.21784,1999-03-03T07:12:15.597,  1612
186.63204,-43.03800,     681.11, 367604.27,  3388043.87,1,0, -26282800.11784,1999-03-03T07:12:15.697,  1612
186.63115,-43.04310,     682.28, 367602.42,  3388043.55,1,0, -26282800.01784,1999-03-03T07:12:15.797,  1612
186.63025,-43.04830,     684.68, 367599.32,  3388044.44,1,0, -26282799.91783,1999-03-03T07:12:15.897,  1612
186.62936,-43.05340,     685.45, 367597.88,  3388043.71,1,0, -26282799.81783,1999-03-03T07:12:15.997,  1612
186.62847,-43.05860,     687.74, 367594.91,  3388044.51,1,0, -26282799.71782,1999-03-03T07:12:16.097,  1612
186.62758,-43.06370,     688.17, 367593.79,  3388043.45,1,0, -26282799.61782,1999-03-03T07:12:16.197,  1612
186.62669,-43.06890,     688.65, 367592.62,  3388042.43,1,0, -26282799.51782,1999-03-03T07:12:16.297,  1612
186.62579,-43.07400,     688.68, 367591.92,  3388040.97,1,0, -26282799.41781,1999-03-03T07:12:16.397,  1612
186.62490,-43.07920,     689.49, 367590.42,  3388040.29,1,0, -26282799.31781,1999-03-03T07:12:16.497,  1612
186.62401,-43.08430,     691.89, 367587.33,  3388041.19,1,0, -26282799.21781,1999-03-03T07:12:16.597,  1612
186.62312,-43.08950,     693.00, 367585.53,  3388040.81,1,0, -26282799.11780,1999-03-03T07:12:16.697,  1612
186.62223,-43.09460,     693.00, 367584.86,  3388039.32,1,0, -26282799.01780,1999-03-03T07:12:16.797,  1612
186.62134,-43.09980,     694.26, 367582.91,  3388039.08,1,0, -26282798.91779,1999-03-03T07:12:16.897,  1612
186.62045,-43.10490,     695.79, 367580.71,  3388039.12,1,0, -26282798.81779,1999-03-03T07:12:16.997,  1612
186.61956,-43.11010,     696.35, 367579.45,  3388038.19,1,0, -26282798.71779,1999-03-03T07:12:17.097,  1612
186.61867,-43.11520,     697.15, 367577.96,  3388037.49,1,0, -26282798.61778,1999-03-03T07:12:17.197,  1612
186.61778,-43.12040,     698.65, 367575.81,  3388037.50,1,0, -26282798.51778,1999-03-03T07:12:17.297,  1612
186.61688,-43.12550,     700.90, 367572.87,  3388038.26,1,0, -26282798.41778,1999-03-03T07:12:17.397,  1612
186.61599,-43.13070,     702.88, 367570.20,  3388038.74,1,0, -26282798.31777,1999-03-03T07:12:17.497,  1612
186.61510,-43.13580,     709.75, 367562.65,  3388044.12,1,0, -26282798.21777,1999-03-03T07:12:17.597,  1612
186.61421,-43.14090,     710.62, 367561.08,  3388043.50,1,0, -26282798.11776,1999-03-03T07:12:17.697,  1612
186.61332,-43.14610,     710.96, 367560.10,  3388042.34,1,0, -26282798.01776,1999-03-03T07:12:17.797,  1612
186.61244,-43.15120,     711.42, 367558.93,  3388041.32,1,0, -26282797.91776,1999-03-03T07:12:17.897,  1612
186.61154,-43.15640,     712.53, 367557.14,  3388040.94,1,0, -26282797.81775,1999-03-03T07:12:17.997,  1612
186.61065,-43.16150,     711.48, 367557.53,  3388038.39,1,0, -26282797.71775,1999-03-03T07:12:18.097,  1612
186.60976,-43.16670,     714.33, 367553.98,  3388039.75,1,0, -26282797.61774,1999-03-03T07:12:18.197,  1612
186.60887,-43.17180,     716.27, 367551.35,  3388040.20,1,0, -26282797.51774,1999-03-03T07:12:18.297,  1612
186.60797,-43.17700,     717.05, 367549.92,  3388039.48,1,0, -26282797.41774,1999-03-03T07:12:18.397,  1612
186.60708,-43.18210,     717.84, 367548.45,  3388038.78,1,0, -26282797.31773,1999-03-03T07:12:18.497,  1612
186.60619,-43.18730,     720.23, 367545.36,  3388039.68,1,0, -26282797.21773,1999-03-03T07:12:18.597,  1612
186.60529,-43.19240,     719.42, 367545.51,  3388037.37,1,0, -26282797.11773,1999-03-03T07:12:18.697,  1612
186.60440,-43.19760,     720.76, 367543.47,  3388037.22,1,0, -26282797.01772,1999-03-03T07:12:18.797,  1612
186.60351,-43.20270,     723.69, 367539.87,  3388038.65,1,0, -26282796.91772,1999-03-03T07:12:18.897,  1612
186.60262,-43.20790,     730.68, 367532.20,  3388044.15,1,0, -26282796.81771,1999-03-03T07:12:18.997,  1612
186.60172,-43.21300,     737.66, 367524.56,  3388049.63,1,0, -26282796.71771,1999-03-03T07:12:19.097,  1612
186.60083,-43.21820,     747.69, 367513.83,  3388058.17,1,0, -26282796.61771,1999-03-03T07:12:19.197,  1612
186.59994,-43.22330,     749.63, 367511.21,  3388058.62,1,0, -26282796.51770,1999-03-03T07:12:19.297,  1612
186.59905,-43.22850,     750.06, 367510.12,  3388057.55,1,0, -26282796.41770,1999-03-03T07:12:19.397,  1612
186.59815,-43.23360,     748.53, 367510.97,  3388054.53,1,0, -26282796.31770,1999-03-03T07:12:19.497,  1612
186.59726,-43.23880,     742.99, 367515.84,  3388047.49,1,0, -26282796.21769,1999-03-03T07:12:19.597,  1612
186.59637,-43.24390,     743.85, 367514.28,  3388046.86,1,0, -26282796.11769,1999-03-03T07:12:19.697,  1612
186.59548,-43.24910,     749.97, 367507.50,  3388051.49,1,0, -26282796.01768,1999-03-03T07:12:19.797,  1612
186.59460,-43.25420,     754.47, 367502.31,  3388054.49,1,0, -26282795.91768,1999-03-03T07:12:19.897,  1612
186.59370,-43.25940,     765.07, 367491.03,  3388063.60,1,0, -26282795.81768,1999-03-03T07:12:19.997,  1612
186.59280,-43.26450,     774.92, 367480.51,  3388071.95,1,0, -26282795.71767,1999-03-03T07:12:20.097,  1612
186.59190,-43.26970,     779.42, 367475.32,  3388074.96,1,0, -26282795.61767,1999-03-03T07:12:20.197,  1612
186.59100,-43.27480,     773.44, 367480.63,  3388067.49,1,0, -26282795.51766,1999-03-03T07:12:20.297,  1612
186.59010,-43.28000,     767.52, 367485.88,  3388060.07,1,0, -26282795.41766,1999-03-03T07:12:20.397,  1612
186.58921,-43.28510,     763.21, 367489.51,  3388054.27,1,0, -26282795.31766,1999-03-03T07:12:20.497,  1612
186.58831,-43.29030,     761.02, 367491.02,  3388050.58,1,0, -26282795.21765,1999-03-03T07:12:20.597,  1612
186.58741,-43.29540,     762.97, 367488.40,  3388051.04,1,0, -26282795.11765,1999-03-03T07:12:20.697,  1612
186.58651,-43.30060,     764.56, 367486.13,  3388051.14,1,0, -26282795.01765,1999-03-03T07:12:20.797,  1612
186.58561,-43.30570,     768.35, 367481.67,  3388053.43,1,0, -26282794.91764,1999-03-03T07:12:20.897,  1612
186.58471,-43.31090,     771.35, 367477.99,  3388054.94,1,0, -26282794.81764,1999-03-03T07:12:20.997,  1612
186.58381,-43.31600,     772.11, 367476.56,  3388054.21,1,0, -26282794.71763,1999-03-03T07:12:21.097,  1612
186.58291,-43.32120,     770.72, 367477.29,  3388051.32,1,0, -26282794.61763,1999-03-03T07:12:21.197,  1612
186.58201,-43.32630,     766.68, 367480.64,  3388045.79,1,0, -26282794.51763,1999-03-03T07:12:21.297,  1612
186.58111,-43.33150,     765.32, 367481.32,  3388042.93,1,0, -26282794.41762,1999-03-03T07:12:21.397,  1612
186.58022,-43.33670,     765.45, 367480.52,  3388041.57,1,0, -26282794.31762,1999-03-03T07:12:21.497,  1612
186.57932,-43.34180,     767.42, 367477.86,  3388042.05,1,0, -26282794.21762,1999-03-03T07:12:21.597,  1612
186.57842,-43.34700,     768.57, 367476.05,  3388041.70,1,0, -26282794.11761,1999-03-03T07:12:21.697,  1612
186.57752,-43.35210,     770.39, 367473.56,  3388042.03,1,0, -26282794.01761,1999-03-03T07:12:21.797,  1612
186.57572,-43.36240,     774.31, 367468.30,  3388042.95,1,0, -26282793.81760,1999-03-03T07:12:21.997,  1612
186.57482,-43.36760,     776.31, 367465.61,  3388043.46,1,0, -26282793.71759,1999-03-03T07:12:22.097,  1612
186.57392,-43.37270,     778.28, 367463.00,  3388043.93,1,0, -26282793.61759,1999-03-03T07:12:22.197,  1612
