long_East,lat_North,topography, MOLArange,  planet_rad, c,A,  Ephermis Time,            UTC,          Orbit
136.10379,  4.99850,   -2692.89, 389220.01,  3392968.09,1,0, -26269612.12154,1999-03-03T10:52:03.693,  1613
136.10312,  4.99350,   -2689.73, 389213.64,  3392971.56,1,0, -26269612.02154,1999-03-03T10:52:03.793,  1613
136.10245,  4.98840,   -2687.41, 389208.09,  3392974.18,1,0, -26269611.92154,1999-03-03T10:52:03.893,  1613
136.10177,  4.98330,   -2681.55, 389199.02,  3392980.35,1,0, -26269611.82153,1999-03-03T10:52:03.993,  1613
136.10110,  4.97820,   -2683.11, 389197.37,  3392979.10,1,0, -26269611.72153,1999-03-03T10:52:04.093,  1613
136.10043,  4.97310,   -2684.74, 389195.77,  3392977.78,1,0, -26269611.62153,1999-03-03T10:52:04.193,  1613
136.09976,  4.96800,   -2685.30, 389193.12,  3392977.53,1,0, -26269611.52152,1999-03-03T10:52:04.293,  1613
136.09912,  4.96290,   -2686.73, 389191.35,  3392976.40,1,0, -26269611.42152,1999-03-03T10:52:04.393,  1613
136.09846,  4.95780,   -2686.82, 389188.20,  3392976.62,1,0, -26269611.32151,1999-03-03T10:52:04.493,  1613
136.09780,  4.95270,   -2686.31, 389184.50,  3392977.43,1,0, -26269611.22151,1999-03-03T10:52:04.593,  1613
136.09714,  4.94760,   -2684.69, 389179.67,  3392979.35,1,0, -26269611.12151,1999-03-03T10:52:04.693,  1613
136.09648,  4.94250,   -2684.96, 389176.71,  3392979.39,1,0, -26269611.02150,1999-03-03T10:52:04.793,  1613
136.09582,  4.93740,   -2684.80, 389173.36,  3392979.85,1,0, -26269610.92150,1999-03-03T10:52:04.893,  1613
136.09516,  4.93230,   -2684.18, 389169.51,  3392980.78,1,0, -26269610.82150,1999-03-03T10:52:04.993,  1613
136.09450,  4.92720,   -2682.61, 389164.74,  3392982.65,1,0, -26269610.72149,1999-03-03T10:52:05.093,  1613
136.09384,  4.92210,   -2679.31, 389158.22,  3392986.25,1,0, -26269610.62149,1999-03-03T10:52:05.193,  1613
136.09318,  4.91700,   -2669.46, 389145.15,  3392996.41,1,0, -26269610.52148,1999-03-03T10:52:05.293,  1613
136.09252,  4.91190,   -2672.65, 389145.13,  3392993.52,1,0, -26269610.42148,1999-03-03T10:52:05.393,  1613
136.09186,  4.90680,   -2677.41, 389146.69,  3392989.07,1,0, -26269610.32148,1999-03-03T10:52:05.493,  1613
136.09120,  4.90170,   -2679.91, 389145.97,  3392986.87,1,0, -26269610.22147,1999-03-03T10:52:05.593,  1613
136.09054,  4.89660,   -2681.62, 389144.46,  3392985.46,1,0, -26269610.12147,1999-03-03T10:52:05.693,  1613
136.08989,  4.89150,   -2683.23, 389142.85,  3392984.16,1,0, -26269610.02147,1999-03-03T10:52:05.793,  1613
136.08923,  4.88640,   -2684.55, 389140.96,  3392983.14,1,0, -26269609.92146,1999-03-03T10:52:05.893,  1613
136.08857,  4.88130,   -2684.48, 389137.69,  3392983.52,1,0, -26269609.82146,1999-03-03T10:52:05.993,  1613
136.08791,  4.87620,   -2682.83, 389132.82,  3392985.47,1,0, -26269609.72145,1999-03-03T10:52:06.093,  1613
136.08725,  4.87110,   -2684.46, 389131.23,  3392984.14,1,0, -26269609.62145,1999-03-03T10:52:06.193,  1613
136.08659,  4.86600,   -2685.19, 389128.75,  3392983.72,1,0, -26269609.52145,1999-03-03T10:52:06.293,  1613
136.08593,  4.86090,   -2685.36, 389125.72,  3392983.84,1,0, -26269609.42144,1999-03-03T10:52:06.393,  1613
