long_east,lat_north,altitude
137.37669,-4.0942,-2659.75
137.37603,-4.0993,-2670.05
137.37537,-4.1044,-2665.54
137.37471,-4.1095,-2687.89
137.37405,-4.1146,-2683.05
137.37339,-4.1197,-2655.12
137.37273,-4.1247,-2668.8
137.37207,-4.1298,-2705.39
137.3714,-4.1349,-2774.8
137.37074,-4.14,-2835.22
137.37008,-4.1451,-2865.73
137.36942,-4.1502,-2847.08
137.36876,-4.1552,-2885.58
137.3681,-4.1603,-2940.71
137.36744,-4.1654,-3000.09
137.36678,-4.1705,-3002.47
137.36612,-4.1756,-2996.25
137.36546,-4.1807,-2915.4
137.3648,-4.1857,-2903.54
137.36413,-4.1908,-3028.85
137.36347,-4.1959,-3086.03
137.36281,-4.201,-3115.76
137.36215,-4.2061,-3142.85
137.36149,-4.2111,-3249.83
137.36083,-4.2162,-3390.18
137.36017,-4.2213,-3523.89
137.35952,-4.2264,-3658.71
137.35886,-4.2315,-3766.01
137.3582,-4.2366,-3837.74
137.35754,-4.2417,-3892.19
137.35688,-4.2467,-3940.01
137.35622,-4.2518,-3973.47
137.35556,-4.2569,-3988.65
137.3549,-4.262,-4006.84
137.35425,-4.2671,-4019.97
137.35359,-4.2722,-4034.07
137.35293,-4.2773,-4043.97
137.35227,-4.2824,-4052.61
137.35161,-4.2875,-4050.97
137.35097,-4.2926,-4008.31
137.35032,-4.2977,-3959.52
137.34966,-4.3028,-3941.88
137.34901,-4.3079,-4049.57
137.34835,-4.313,-4099.33
137.34704,-4.3232,-4154.56
137.34639,-4.3283,-4176.85
137.34573,-4.3334,-4198.46
137.34508,-4.3385,-4212.44
137.34442,-4.3436,-4218.16
137.34377,-4.3487,-4222.3
137.34312,-4.3538,-4228.86
137.34246,-4.3589,-4234.73
137.34181,-4.364,-4241.21
137.34115,-4.3691,-4253.3
137.3405,-4.3742,-4260.87
137.33984,-4.3793,-4270.8
137.33919,-4.3844,-4282.63
137.33853,-4.3895,-4285.31
137.3379,-4.3946,-4294.15
137.33724,-4.3997,-4305.9
137.33658,-4.4048,-4317.63
137.33592,-4.4099,-4329.39
137.33527,-4.415,-4340.77
137.33461,-4.4201,-4344.34
137.33395,-4.4252,-4351.98
137.33329,-4.4303,-4353.9
137.33263,-4.4354,-4355.48
137.33197,-4.4405,-4359.87
137.33131,-4.4456,-4361.59
137.33066,-4.4507,-4361.67
137.33,-4.4558,-4358.78
137.32934,-4.4609,-4375.12
137.32868,-4.466,-4381.54
137.32802,-4.4711,-4385.38
137.32736,-4.4761,-4387.75
137.3267,-4.4812,-4392.05
137.32605,-4.4863,-4397.46
137.32539,-4.4914,-4402.84
137.32469,-4.4965,-4404.5
137.32403,-4.5016,-4412.02
137.32336,-4.5066,-4416.32
137.32269,-4.5117,-4418.33
137.32202,-4.5168,-4421.1
137.32136,-4.5219,-4428.07
137.32069,-4.527,-4432.56
137.32002,-4.532,-4437.62
137.31935,-4.5371,-4440.49
137.31869,-4.5422,-4442.88
137.31802,-4.5473,-4448.2
137.31735,-4.5524,-4448.37
137.31668,-4.5575,-4448.1
137.31602,-4.5625,-4456.87
137.31535,-4.5676,-4459.21
137.31468,-4.5727,-4462.75
137.31401,-4.5778,-4464.71
137.31335,-4.5829,-4464.09
137.31268,-4.588,-4463.48
137.31201,-4.593,-4464.4
137.31131,-4.5981,-4464.07
137.31065,-4.6032,-4462.07
137.30999,-4.6083,-4464.02
137.30933,-4.6134,-4464.21
137.30866,-4.6185,-4467.38
137.308,-4.6235,-4466.7
137.30734,-4.6286,-4466.85
137.30668,-4.6337,-4471.15
137.30602,-4.6388,-4469.32
137.30536,-4.6439,-4473.3
137.3047,-4.649,-4468.8
137.30403,-4.654,-4470.13
137.30337,-4.6591,-4471.39
137.30271,-4.6642,-4472.23
137.30205,-4.6693,-4471.63
137.30139,-4.6744,-4472.96
137.30073,-4.6795,-4476.74
137.30007,-4.6846,-4471.75
137.29941,-4.6896,-4473.7
137.29874,-4.6947,-4460.77
137.29814,-4.6998,-4455.61
137.2975,-4.7049,-4459.13
137.29685,-4.71,-4467.42
137.2962,-4.7151,-4458.63
137.29555,-4.7202,-4449.02
137.29491,-4.7253,-4439.69
137.29426,-4.7304,-4428.26
137.29361,-4.7354,-4414.86
137.29296,-4.7405,-4398.22
137.29231,-4.7456,-4390.13
137.29167,-4.7507,-4369.24
137.29102,-4.7558,-4348.61
137.29037,-4.7609,-4317.88
137.28972,-4.766,-4303.72
137.28907,-4.7711,-4296.73
137.28843,-4.7762,-4294.21
137.28778,-4.7813,-4288.31
137.28713,-4.7863,-4273.93
137.28648,-4.7914,-4330.16
137.28584,-4.7965,-4303.35
137.28457,-4.8067,-4266.85
137.28392,-4.8118,-4246.51
137.28326,-4.8169,-4189.61
137.28261,-4.822,-4139.94
137.28195,-4.8271,-4078.67
137.2813,-4.8322,-4052.85
137.28064,-4.8372,-4027.54
137.27999,-4.8423,-4023.82
137.27933,-4.8474,-3973.96
137.27868,-4.8525,-3959.75
137.27802,-4.8576,-3869.5
137.27737,-4.8627,-3815.64
137.27671,-4.8678,-3709.3
137.27606,-4.8729,-3676.5
137.2754,-4.878,-3675.2
137.27475,-4.8831,-3670.36
137.27409,-4.8882,-3678.87
137.27344,-4.8932,-3647.04
137.27278,-4.8983,-3607.12
137.27207,-4.9034,-3612.5
137.2714,-4.9085,-3602.77
137.27073,-4.9136,-3587.28
137.27006,-4.9187,-3573.55
137.26939,-4.9238,-3549.22
137.26872,-4.9289,-3503.71
137.26805,-4.934,-3481.02
137.26738,-4.9391,-3453.32
137.26671,-4.9442,-3379.71
137.26604,-4.9492,-3422.47
137.26538,-4.9543,-3412.17
137.26471,-4.9594,-3399.17
137.26404,-4.9645,-3376.86
137.26337,-4.9696,-3356.33
137.2627,-4.9747,-3328.38
137.26203,-4.9798,-3311.3
137.26136,-4.9849,-3297.87
137.26069,-4.99,-3267.42
137.26002,-4.9951,-3253.24
137.25935,-5.0002,-3235.7
137.25865,-5.0053,-3192.04
137.25799,-5.0103,-3202.13
137.25733,-5.0154,-3214.82
137.25666,-5.0205,-3204.42
137.256,-5.0256,-3183.56
137.25533,-5.0307,-3140.98
137.25467,-5.0358,-3153.42
137.25334,-5.046,-3116.94
137.25267,-5.0511,-3096.89
137.25201,-5.0561,-3089.45
