long_east_deg,lat_north_deg,altitude_m,radius_m
136.10379,4.9985,-2692.89,3392968.09
136.10312,4.9935,-2689.73,3392971.56
136.10245,4.9884,-2687.41,3392974.18
136.10177,4.9833,-2681.55,3392980.35
136.1011,4.9782,-2683.11,3392979.1
136.10043,4.9731,-2684.74,3392977.78
136.09976,4.968,-2685.3,3392977.53
136.09912,4.9629,-2686.73,3392976.4
136.09846,4.9578,-2686.82,3392976.62
136.0978,4.9527,-2686.31,3392977.43
136.09714,4.9476,-2684.69,3392979.35
136.09648,4.9425,-2684.96,3392979.39
136.09582,4.9374,-2684.8,3392979.85
136.09516,4.9323,-2684.18,3392980.78
136.0945,4.9272,-2682.61,3392982.65
136.09384,4.9221,-2679.31,3392986.25
136.09318,4.917,-2669.46,3392996.41
136.09252,4.9119,-2672.65,3392993.52
136.09186,4.9068,-2677.41,3392989.07
136.0912,4.9017,-2679.91,3392986.87
136.09054,4.8966,-2681.62,3392985.46
136.08989,4.8915,-2683.23,3392984.16
136.08923,4.8864,-2684.55,3392983.14
136.08857,4.8813,-2684.48,3392983.52
136.08791,4.8762,-2682.83,3392985.47
136.08725,4.8711,-2684.46,3392984.14
136.08659,4.866,-2685.19,3392983.72
136.08593,4.8609,-2685.36,3392983.84
136.08527,4.8558,-2686.32,3392983.18
136.08461,4.8507,-2685.47,3392984.33
136.08395,4.8456,-2687.35,3392982.75
136.08329,4.8405,-2685.35,3392985.05
136.08263,4.8354,-2686.08,3392984.62
136.08197,4.8303,-2685.44,3392985.56
136.08131,4.8252,-2684.2,3392987.09
136.08065,4.8201,-2685.15,3392986.44
136.07999,4.815,-2685.23,3392986.66
136.07933,4.8099,-2684.46,3392987.73
136.07867,4.8048,-2684.65,3392987.84
136.07801,4.7997,-2684.14,3392988.65
136.07735,4.7946,-2683.19,3392989.89
136.07669,4.7895,-2685.33,3392988.05
136.07537,4.7793,-2685.69,3392988.29
136.07471,4.7742,-2684.37,3392989.91
136.07405,4.7691,-2685.31,3392989.27
136.07339,4.764,-2684.82,3392990.06
136.07271,4.7589,-2684.64,3392990.53
136.07203,4.7538,-2684.53,3392990.93
136.07136,4.7488,-2683.24,3392992.51
136.07069,4.7437,-2683.73,3392992.32
136.07002,4.7386,-2682.39,3392993.95
136.06935,4.7335,-2681.88,3392994.75
136.06867,4.7285,-2681.35,3392995.57
136.068,4.7234,-2680.84,3392996.37
136.06733,4.7183,-2680.59,3392996.91
136.06666,4.7133,-2680.42,3392997.37
136.06598,4.7082,-2679.67,3392998.42
136.06531,4.7031,-2679.9,3392998.48
136.06464,4.698,-2678.18,3393000.49
136.06397,4.693,-2678.04,3393000.92
136.0633,4.6879,-2678.47,3393000.78
136.06262,4.6828,-2668.37,3393011.17
136.06195,4.6777,-2671.43,3393008.4
136.06128,4.6727,-2676.57,3393003.56
136.06061,4.6676,-2675.32,3393005.1
136.05994,4.6625,-2675.93,3393004.78
136.05859,4.6524,-2674.39,3393006.89
136.05792,4.6473,-2673.88,3393007.69
136.05725,4.6422,-2672.18,3393009.67
136.05657,4.6371,-2670.6,3393011.54
136.0559,4.6321,-2667.43,3393014.99
136.05523,4.627,-2668.01,3393014.7
136.05456,4.6219,-2666.25,3393016.75
136.05389,4.6168,-2664.91,3393018.37
136.05322,4.6118,-2665.62,3393017.95
136.05255,4.6067,-2665.31,3393018.54
136.05188,4.6016,-2666.03,3393018.11
136.05121,4.5965,-2663.93,3393020.49
136.04986,4.5864,-2663.3,3393021.7
136.04919,4.5813,-2658.57,3393026.71
136.04852,4.5762,-2662.46,3393023.11
136.04785,4.5712,-2660.54,3393025.31
136.04718,4.5661,-2657.95,3393028.19
136.04651,4.561,-2660.42,3393026.01
136.04588,4.5559,-2655.35,3393031.37
136.04523,4.5508,-2656.74,3393030.26
136.04458,4.5457,-2657.29,3393029.99
136.04393,4.5406,-2656.46,3393031.1
136.04328,4.5355,-2655.42,3393032.42
136.04263,4.5304,-2656.34,3393031.79
136.04198,4.5253,-2654.39,3393034.02
136.04133,4.5202,-2654.47,3393034.22
136.04067,4.5151,-2651.43,3393037.54
136.04002,4.51,-2653.91,3393035.34
136.03937,4.5049,-2653.61,3393035.92
136.03872,4.4998,-2654.67,3393035.14
136.03807,4.4947,-2654.06,3393036.03
136.03742,4.4896,-2653.82,3393036.55
136.03677,4.4846,-2652.57,3393038.08
136.03612,4.4795,-2651.94,3393039.0
136.03546,4.4744,-2654.41,3393036.81
136.03481,4.4693,-2653.92,3393037.58
136.03416,4.4642,-2653.39,3393038.39
136.03351,4.4591,-2653.81,3393038.25
136.03287,4.454,-2653.72,3393038.62
136.03222,4.4489,-2655.04,3393037.58
136.03156,4.4438,-2655.23,3393037.66
136.03091,4.4387,-2653.12,3393040.05
136.03026,4.4336,-2655.57,3393037.87
136.02961,4.4285,-2655.68,3393038.04
136.02895,4.4234,-2655.62,3393038.38
136.0283,4.4183,-2657.25,3393037.02
136.02765,4.4132,-2652.92,3393041.63
136.02699,4.4081,-2655.72,3393039.1
136.02634,4.403,-2654.81,3393040.29
136.02569,4.3979,-2656.58,3393038.79
136.02438,4.3877,-2657.33,3393038.59
136.02373,4.3826,-2656.41,3393039.79
136.02308,4.3775,-2657.35,3393039.13
136.02177,4.3674,-2657.39,3393039.64
136.02112,4.3623,-2656.08,3393041.22
136.02046,4.3572,-2649.76,3393047.82
136.01974,4.3521,-2652.69,3393045.15
136.01905,4.347,-2652.03,3393046.08
136.01837,4.342,-2652.69,3393045.69
136.01768,4.3369,-2651.47,3393047.18
136.01699,4.3318,-2650.46,3393048.46
136.01631,4.3267,-2647.65,3393051.54
136.01562,4.3217,-2645.56,3393053.9
