long_east_deg,lat_north_deg,altitude_m,radius_m
354.68603,-2.4446,-1486.34,3394040.2
354.68536,-2.4395,-1486.17,3394040.49
354.68469,-2.4344,-1483.66,3394043.12
354.68402,-2.4294,-1480.78,3394046.12
354.68334,-2.4243,-1475.98,3394051.05
354.68267,-2.4192,-1470.49,3394056.66
354.682,-2.4141,-1463.89,3394063.38
354.68133,-2.4091,-1462.56,3394064.82
354.68066,-2.404,-1466.0,3394061.5
354.68,-2.3989,-1456.31,3394071.31
354.67933,-2.3938,-1449.71,3394078.03
354.67866,-2.3887,-1477.54,3394050.31
354.67799,-2.3837,-1515.19,3394012.78
354.67732,-2.3786,-1548.67,3393979.42
354.67665,-2.3735,-1581.77,3393946.44
354.67598,-2.3684,-1621.26,3393907.07
354.67531,-2.3633,-1642.32,3393886.12
354.67465,-2.3583,-1651.86,3393876.7
354.67398,-2.3532,-1660.77,3393867.91
354.67331,-2.3481,-1661.03,3393867.77
354.67264,-2.343,-1665.59,3393863.33
354.67197,-2.338,-1674.22,3393854.81
354.6713,-2.3329,-1675.67,3393853.48
354.67063,-2.3278,-1680.69,3393848.58
354.66994,-2.3227,-1684.91,3393844.47
354.66928,-2.3177,-1686.51,3393842.98
354.66861,-2.3126,-1690.03,3393839.57
354.66795,-2.3075,-1693.13,3393836.59
354.66728,-2.3024,-1696.64,3393833.19
354.66662,-2.2973,-1696.63,3393833.31
354.66595,-2.2922,-1694.59,3393835.46
354.66529,-2.2872,-1693.2,3393836.97
354.66462,-2.2821,-1687.43,3393842.85
354.66396,-2.277,-1681.17,3393849.22
354.66329,-2.2719,-1670.66,3393859.85
354.66263,-2.2668,-1657.82,3393872.8
354.66196,-2.2618,-1645.33,3393885.4
354.6613,-2.2567,-1633.3,3393897.55
354.66063,-2.2516,-1619.85,3393911.11
354.65997,-2.2465,-1612.46,3393918.61
354.6593,-2.2414,-1597.06,3393934.12
354.65864,-2.2363,-1586.67,3393944.63
354.65797,-2.2313,-1565.62,3393965.79
354.65731,-2.2262,-1546.75,3393984.77
354.65666,-2.2211,-1523.02,3394008.62
354.65599,-2.216,-1508.23,3394023.52
354.65533,-2.2109,-1503.87,3394027.98
354.65467,-2.2058,-1505.97,3394025.99
354.654,-2.2007,-1486.34,3394045.73
354.65334,-2.1957,-1465.92,3394066.26
354.65268,-2.1906,-1456.31,3394075.97
354.65202,-2.1855,-1453.43,3394078.96
354.65135,-2.1804,-1452.04,3394080.46
354.65069,-2.1753,-1449.88,3394082.73
354.65003,-2.1702,-1450.07,3394082.64
354.64937,-2.1651,-1450.5,3394082.32
354.6487,-2.1601,-1451.96,3394080.97
354.64804,-2.155,-1451.82,3394081.22
354.64738,-2.1499,-1448.08,3394085.06
354.64672,-2.1448,-1446.05,3394087.2
354.64605,-2.1397,-1447.31,3394086.05
354.64539,-2.1346,-1450.47,3394083.0
354.64473,-2.1295,-1444.79,3394088.78
354.64407,-2.1245,-1441.19,3394092.49
354.64339,-2.1194,-1436.76,3394097.03
354.64273,-2.1143,-1433.14,3394100.75
354.64207,-2.1092,-1429.87,3394104.12
354.64141,-2.1041,-1426.63,3394107.46
354.64075,-2.099,-1422.2,3394112.0
354.6401,-2.0939,-1416.78,3394117.52
354.63944,-2.0889,-1409.85,3394124.55
354.63878,-2.0838,-1403.58,3394130.92
354.63812,-2.0787,-1398.8,3394135.81
354.63746,-2.0736,-1393.59,3394141.12
354.63681,-2.0685,-1388.92,3394145.89
354.63549,-2.0583,-1381.55,3394153.47
354.63483,-2.0532,-1379.0,3394156.12
354.63418,-2.0481,-1377.56,3394157.66
354.63352,-2.0431,-1377.29,3394158.03
354.63286,-2.038,-1375.89,3394159.54
354.6322,-2.0329,-1375.03,3394160.5
354.63154,-2.0278,-1376.91,3394158.72
354.63089,-2.0227,-1372.96,3394162.77
354.63024,-2.0176,-1371.57,3394164.27
354.62959,-2.0125,-1371.14,3394164.8
354.62893,-2.0074,-1371.69,3394164.35
354.62828,-2.0023,-1374.43,3394161.71
354.62762,-1.9972,-1375.61,3394160.62
354.62631,-1.987,-1377.03,3394159.4
354.62566,-1.982,-1375.93,3394160.6
