long_east,lat_north,altitude
77.83429,17.944,-2437.81
77.83359,17.9491,-2381.5
77.8329,17.9541,-2343.15
77.8322,17.9592,-2283.44
77.8315,17.9643,-2296.08
77.83081,17.9693,-2268.08
77.83011,17.9744,-2271.47
77.82941,17.9795,-2264.2
77.82871,17.9845,-2271.12
77.82802,17.9896,-2268.33
77.82732,17.9947,-2214.55
77.82662,17.9997,-2233.57
77.82593,18.0048,-2251.09
77.82523,18.0099,-2245.62
77.82453,18.0149,-2213.39
77.82382,18.0199,-2159.94
77.82312,18.025,-2129.46
77.82241,18.03,-2222.58
77.82171,18.0351,-2291.41
77.82101,18.0401,-2312.37
77.82031,18.0452,-2337.64
77.8196,18.0502,-2368.34
77.8189,18.0553,-2384.94
77.8182,18.0604,-2414.12
77.8175,18.0654,-2454.33
77.8168,18.0704,-2501.2
77.81609,18.0755,-2561.02
77.81539,18.0805,-2581.1
77.81469,18.0856,-2607.94
77.81399,18.0906,-2635.01
77.81328,18.0957,-2661.85
77.81258,18.1008,-2674.3
77.81188,18.1058,-2680.47
77.81117,18.1109,-2679.56
77.81047,18.1159,-2671.81
77.80977,18.121,-2653.06
77.80907,18.126,-2639.46
77.80836,18.1311,-2649.04
77.80766,18.1361,-2661.24
77.80696,18.1412,-2667.88
77.80625,18.1462,-2668.82
77.80555,18.1513,-2665.33
77.80485,18.1563,-2655.83
77.80414,18.1614,-2668.84
77.80344,18.1664,-2669.78
77.80274,18.1715,-2673.88
77.80203,18.1765,-2677.71
77.80133,18.1816,-2682.92
77.80063,18.1866,-2674.63
77.79993,18.1917,-2681.44
77.79922,18.1967,-2681.39
77.79852,18.2018,-2677.55
77.79782,18.2068,-2673.55
77.79711,18.2119,-2665.58
77.79571,18.222,-2672.17
77.79501,18.227,-2683.98
77.79431,18.2321,-2688.0
77.79361,18.2371,-2692.2
77.79291,18.2422,-2698.53
77.79221,18.2472,-2705.2
77.79151,18.2523,-2708.33
77.79081,18.2573,-2708.62
77.79011,18.2624,-2711.5
77.7894,18.2674,-2711.48
77.7887,18.2725,-2708.34
77.788,18.2775,-2709.59
77.7873,18.2826,-2707.16
77.7866,18.2876,-2703.45
77.7859,18.2927,-2702.43
77.7852,18.2977,-2699.72
77.7845,18.3028,-2697.38
77.7838,18.3079,-2694.54
77.78309,18.3129,-2688.05
77.78239,18.318,-2684.1
77.78169,18.323,-2680.97
77.78099,18.328,-2679.51
77.78029,18.3331,-2677.04
77.77958,18.3382,-2679.19
77.77888,18.3432,-2685.38
77.77818,18.3483,-2681.42
77.77748,18.3533,-2677.3
77.77678,18.3584,-2668.17
77.77608,18.3634,-2666.17
77.77538,18.3685,-2664.88
77.77468,18.3735,-2660.98
77.77398,18.3786,-2650.42
77.77328,18.3836,-2653.65
77.77258,18.3887,-2647.4
77.77188,18.3937,-2648.19
77.77117,18.3988,-2644.27
77.77047,18.4038,-2643.32
77.76977,18.4089,-2643.54
77.76907,18.4139,-2647.59
77.76837,18.419,-2651.69
77.76699,18.4291,-2666.39
77.7663,18.4342,-2667.79
77.7656,18.4392,-2666.78
77.76491,18.4443,-2668.22
77.76421,18.4494,-2663.48
77.76352,18.4544,-2652.9
77.76282,18.4595,-2645.0
77.76212,18.4645,-2630.57
77.76143,18.4696,-2621.4
77.76073,18.4747,-2617.2
77.76004,18.4797,-2620.07
77.75934,18.4848,-2631.55
77.75865,18.4898,-2634.02
77.75795,18.4949,-2630.17
77.75726,18.5,-2618.74
77.75656,18.505,-2603.62
77.75586,18.5101,-2602.83
77.75517,18.5151,-2600.83
77.75447,18.5202,-2597.58
77.75378,18.5252,-2595.27
77.75308,18.5303,-2592.26
77.75239,18.5354,-2591.24
77.75169,18.5404,-2590.72
77.751,18.5455,-2590.24
77.7503,18.5505,-2588.18
77.7496,18.5556,-2584.8
77.74891,18.5607,-2579.37
77.74821,18.5657,-2566.39
77.74752,18.5708,-2562.18
77.74682,18.5758,-2563.24
77.74612,18.5809,-2553.37
77.74543,18.586,-2551.65
77.74473,18.591,-2547.59
77.74404,18.5961,-2549.23
77.74334,18.6011,-2546.52
77.74264,18.6062,-2534.4
77.74195,18.6113,-2520.36
77.74125,18.6163,-2508.69
77.73985,18.6264,-2499.42
77.73915,18.6315,-2497.37
77.73845,18.6366,-2496.07
77.73775,18.6416,-2488.1
77.73706,18.6467,-2475.97
77.73636,18.6517,-2481.94
77.73566,18.6568,-2481.13
77.73496,18.6619,-2476.39
77.73426,18.6669,-2469.21
77.73356,18.672,-2455.95
77.73286,18.677,-2448.31
77.73216,18.6821,-2412.11
77.73146,18.6872,-2395.22
77.73077,18.6922,-2389.79
77.73007,18.6973,-2395.78
77.72937,18.7023,-2376.42
77.72867,18.7074,-2359.9
77.72797,18.7124,-2360.86
77.72727,18.7175,-2338.13
77.72657,18.7226,-2319.73
77.72588,18.7276,-2302.33
77.72518,18.7327,-2292.89
77.72448,18.7377,-2289.31
77.72378,18.7428,-2278.05
77.72308,18.7479,-2268.93
77.72238,18.7529,-2255.34
77.72168,18.758,-2248.33
77.72098,18.763,-2235.48
77.72028,18.7681,-2218.07
77.71958,18.7732,-2196.72
77.71888,18.7782,-2172.95
77.71818,18.7833,-2150.23
77.71748,18.7883,-2141.57
77.71678,18.7934,-2148.52
77.71608,18.7985,-2143.97
77.71538,18.8035,-2124.26
77.71468,18.8086,-2117.42
77.71398,18.8136,-2117.76
77.71328,18.8187,-2105.98
77.71258,18.8238,-2114.08
77.71186,18.8288,-2119.59
77.71116,18.8339,-2119.84
77.71045,18.8389,-2129.41
77.70975,18.844,-2139.51
77.70904,18.8491,-2143.75
77.70834,18.8541,-2150.35
77.70763,18.8592,-2156.7
77.70692,18.8642,-2159.52
77.70622,18.8693,-2149.01
77.70551,18.8743,-2139.11
77.70481,18.8794,-2151.22
77.7041,18.8845,-2126.15
77.70339,18.8895,-2103.65
77.70269,18.8946,-2100.44
77.70198,18.8996,-2086.02
77.70128,18.9047,-2082.52
77.70057,18.9098,-2042.2
77.69987,18.9148,-2054.17
77.69916,18.9199,-2030.79
77.69845,18.9249,-2034.34
77.69775,18.93,-2041.09
77.69704,18.9351,-2056.24
77.91053,18.9382,-2123.43
77.90983,18.9331,-2123.28
77.90912,18.9281,-2140.11
77.90842,18.923,-2145.44
77.90771,18.918,-2138.96
77.90701,18.9129,-2186.75
77.9063,18.9078,-2176.4
77.9056,18.9028,-2176.64
77.9049,18.8977,-2171.68
77.90419,18.8927,-2173.74
77.90349,18.8876,-2169.12
77.90278,18.8825,-2170.43
77.90208,18.8775,-2180.0
77.90138,18.8724,-2160.12
77.90067,18.8674,-2157.69
77.89997,18.8623,-2152.5
77.89926,18.8572,-2134.16
77.89855,18.8522,-2096.1
77.89785,18.8471,-2088.75
77.89715,18.8421,-2082.6
77.89644,18.837,-2109.34
77.89574,18.832,-2115.32
77.89504,18.8269,-2136.87
77.89434,18.8218,-2109.78
77.89364,18.8168,-2095.67
77.89223,18.8066,-2103.67
77.89153,18.8016,-2106.88
77.89083,18.7965,-2109.78
77.89013,18.7915,-2129.74
77.88943,18.7864,-2136.77
77.88873,18.7813,-2138.71
77.88803,18.7763,-2142.4
77.88732,18.7712,-2146.69
77.88662,18.7661,-2153.78
77.88592,18.7611,-2160.93
77.88522,18.756,-2164.96
77.88457,18.7509,-2164.37
77.88388,18.7458,-2175.22
77.88319,18.7408,-2187.44
77.88251,18.7357,-2197.29
77.88182,18.7306,-2221.23
77.88113,18.7255,-2244.3
77.88044,18.7204,-2256.06
77.87976,18.7154,-2263.5
77.87907,18.7103,-2271.47
77.87838,18.7052,-2276.87
77.8777,18.7001,-2281.64
77.87701,18.6951,-2286.08
77.87632,18.69,-2291.53
77.87564,18.6849,-2302.12
77.87426,18.6748,-2334.18
77.87357,18.6697,-2347.11
77.87289,18.6646,-2367.85
77.8722,18.6595,-2379.8
77.87151,18.6544,-2395.64
77.87085,18.6494,-2391.03
77.87016,18.6443,-2396.54
77.86947,18.6392,-2402.04
77.86878,18.6341,-2414.24
77.86809,18.6291,-2429.1
77.8674,18.624,-2443.8
77.86671,18.6189,-2453.02
77.86602,18.6138,-2466.46
77.86533,18.6087,-2477.88
77.86463,18.6037,-2480.28
77.86394,18.5986,-2480.66
77.86325,18.5935,-2484.82
77.86256,18.5884,-2484.44
77.86187,18.5834,-2486.42
77.86118,18.5783,-2485.58
77.86049,18.5732,-2493.67
77.8598,18.5681,-2503.32
77.85911,18.5631,-2516.95
77.85842,18.558,-2537.42
77.85772,18.5529,-2551.05
77.85694,18.5479,-2561.5
77.85622,18.5428,-2569.03
77.8555,18.5377,-2578.24
77.85478,18.5327,-2582.62
77.85406,18.5276,-2583.29
77.85334,18.5225,-2585.7
77.85263,18.5175,-2590.47
77.85191,18.5124,-2594.84
77.85119,18.5073,-2599.43
77.85047,18.5023,-2602.38
77.84975,18.4972,-2602.3
77.84903,18.4921,-2609.46
77.84831,18.487,-2613.84
77.84759,18.482,-2614.41
77.84687,18.4769,-2617.62
77.84615,18.4718,-2622.67
77.84544,18.4668,-2627.07
77.84472,18.4617,-2627.64
77.844,18.4566,-2629.43
77.84328,18.4516,-2637.95
77.84181,18.4414,-2641.7
77.8411,18.4364,-2637.85
77.84039,18.4313,-2642.84
77.83967,18.4262,-2636.35
77.83896,18.4212,-2640.65
77.83824,18.4161,-2643.17
77.83753,18.411,-2647.53
77.83682,18.406,-2648.19
77.8361,18.4009,-2647.16
77.83539,18.3958,-2643.91
77.83468,18.3907,-2645.3
77.83396,18.3857,-2645.52
77.83325,18.3806,-2653.33
77.83253,18.3755,-2662.89
77.83182,18.3705,-2670.54
77.83111,18.3654,-2672.58
77.83039,18.3603,-2669.17
77.82968,18.3553,-2659.33
77.82896,18.3502,-2672.6
77.82834,18.3451,-2668.41
77.82766,18.34,-2668.58
77.82697,18.3349,-2670.98
77.82629,18.3299,-2670.84
77.8256,18.3248,-2678.21
77.82491,18.3197,-2687.77
77.82423,18.3146,-2688.77
77.82354,18.3096,-2699.05
77.82286,18.3045,-2701.57
77.82217,18.2994,-2702.86
77.82149,18.2943,-2704.22
77.8208,18.2892,-2706.98
77.81943,18.2791,-2707.56
77.81875,18.274,-2704.0
77.81806,18.2689,-2705.0
77.81737,18.2639,-2700.63
77.81669,18.2588,-2686.59
77.816,18.2537,-2686.81
77.81532,18.2486,-2686.32
77.81465,18.2435,-2691.04
77.81396,18.2385,-2686.04
77.81327,18.2334,-2685.02
