long_east_deg,lat_north_deg,altitude_m,radius_m
234.58056,68.7184,-4135.42,3376170.86
234.57816,68.7134,-4134.68,3376172.69
234.57576,68.7085,-4137.3,3376171.17
234.57336,68.7035,-4138.43,3376171.13
234.57095,68.6985,-4138.12,3376172.53
234.56626,68.6886,-4130.64,3376182.21
234.56388,68.6836,-4128.33,3376185.62
234.56151,68.6786,-4124.6,3376190.45
234.55914,68.6737,-4123.88,3376192.27
234.55677,68.6687,-4122.33,3376194.92
234.5544,68.6637,-4122.06,3376196.29
234.55202,68.6587,-4121.71,3376197.73
234.54965,68.6538,-4119.86,3376200.68
234.54728,68.6488,-4120.49,3376201.15
234.54491,68.6438,-4121.83,3376200.91
234.54253,68.6389,-4121.09,3376202.75
234.54016,68.6339,-4119.49,3376205.45
234.53779,68.6289,-4116.26,3376209.77
234.53542,68.6239,-4115.88,3376211.25
234.53305,68.619,-4116.22,3376212.01
234.53067,68.614,-4115.03,3376214.3
234.5283,68.609,-4113.35,3376217.08
234.52593,68.6041,-4112.28,3376219.25
234.52356,68.5991,-4114.56,3376218.07
234.52104,68.5942,-4115.22,3376218.5
234.51872,68.5892,-4114.49,3376220.33
234.51641,68.5842,-4113.05,3376222.87
234.5141,68.5792,-4112.21,3376224.82
234.51179,68.5742,-4111.94,3376226.19
234.50947,68.5693,-4112.81,3376226.42
234.50716,68.5643,-4111.21,3376229.13
234.50485,68.5593,-4107.48,3376233.96
234.50254,68.5543,-4107.2,3376235.34
234.50022,68.5493,-4109.48,3376234.17
234.49791,68.5444,-4108.23,3376236.52
234.4956,68.5394,-4106.13,3376239.73
234.49329,68.5344,-4103.79,3376243.17
234.49097,68.5294,-4103.87,3376244.19
234.48866,68.5244,-4105.81,3376243.36
234.48635,68.5195,-4107.02,3376243.25
234.48172,68.5095,-4107.42,3376245.06
234.47941,68.5045,-4106.24,3376247.34
234.4771,68.4995,-4107.8,3376246.88
234.47486,68.4945,-4109.02,3376246.77
234.47257,68.4895,-4110.96,3376245.94
234.47029,68.4846,-4112.01,3376246.0
234.468,68.4796,-4113.59,3376245.53
234.46572,68.4746,-4114.03,3376246.2
234.46343,68.4696,-4114.44,3376246.9
234.46115,68.4646,-4113.98,3376248.47
234.45886,68.4596,-4115.88,3376247.68
234.45658,68.4547,-4116.79,3376247.88
234.4543,68.4497,-4116.85,3376248.93
234.45201,68.4447,-4117.19,3376249.69
234.44973,68.4397,-4119.01,3376248.98
234.44744,68.4347,-4118.76,3376250.34
234.44516,68.4297,-4119.98,3376250.23
234.44287,68.4248,-4117.7,3376253.62
234.44059,68.4198,-4116.65,3376255.78
234.4383,68.4148,-4117.0,3376256.54
234.43602,68.4098,-4118.57,3376256.08
234.43373,68.4048,-4117.17,3376258.59
234.43145,68.3998,-4117.4,3376259.47
234.42934,68.3948,-4119.04,3376258.94
234.42702,68.3899,-4116.76,3376262.33
234.42471,68.3849,-4115.34,3376264.86
234.42239,68.3799,-4114.63,3376266.68
234.42008,68.3749,-4112.85,3376269.57
234.41776,68.3699,-4109.16,3376274.38
234.41545,68.3649,-4105.44,3376279.21
234.41313,68.36,-4101.99,3376283.77
234.41082,68.355,-4098.29,3376288.58
234.4085,68.35,-4098.38,3376289.6
