long_east,lat_north,altitude
175.39332,-14.0712,-1929.58
175.39264,-14.0763,-1929.02
175.39196,-14.0814,-1928.96
175.39128,-14.0865,-1928.53
175.3906,-14.0916,-1925.32
175.38992,-14.0968,-1925.19
175.38924,-14.1019,-1924.44
175.38856,-14.107,-1918.64
175.38788,-14.1121,-1920.06
175.3872,-14.1172,-1919.16
175.38652,-14.1223,-1920.22
175.38585,-14.1274,-1919.37
175.38517,-14.1326,-1919.35
175.38448,-14.1377,-1917.25
175.3838,-14.1428,-1916.88
175.38312,-14.1479,-1916.37
175.38244,-14.153,-1913.92
175.38176,-14.1582,-1915.75
175.38108,-14.1633,-1914.42
175.3804,-14.1684,-1914.37
175.37972,-14.1735,-1913.54
175.37904,-14.1786,-1911.08
175.37836,-14.1837,-1913.21
175.37768,-14.1889,-1911.27
175.37699,-14.194,-1907.05
175.37631,-14.1991,-1910.0
175.37563,-14.2042,-1910.57
175.37495,-14.2093,-1910.93
175.37427,-14.2144,-1912.54
175.37359,-14.2196,-1911.1
175.37291,-14.2247,-1910.23
175.37223,-14.2298,-1910.38
175.37155,-14.2349,-1907.76
175.37019,-14.2452,-1906.33
175.36951,-14.2503,-1905.0
175.36883,-14.2554,-1901.66
175.36815,-14.2605,-1902.62
175.36746,-14.2656,-1902.6
175.36678,-14.2707,-1900.86
175.3661,-14.2758,-1899.29
175.36541,-14.2809,-1896.5
175.36473,-14.2861,-1892.99
175.36405,-14.2912,-1891.52
175.36336,-14.2963,-1889.57
175.36268,-14.3014,-1888.72
175.362,-14.3065,-1885.5
175.36132,-14.3116,-1879.86
175.36063,-14.3167,-1882.0
175.35995,-14.3218,-1898.04
175.35927,-14.3269,-1915.08
175.35858,-14.3321,-1925.52
175.3579,-14.3372,-1920.43
175.35722,-14.3423,-1909.51
175.35653,-14.3474,-1896.25
175.35585,-14.3525,-1890.09
175.35517,-14.3576,-1898.37
175.35448,-14.3627,-1899.72
175.3538,-14.3678,-1901.75
175.35312,-14.3729,-1901.71
175.35243,-14.378,-1901.55
175.35175,-14.3832,-1901.04
175.35107,-14.3883,-1897.91
175.35038,-14.3934,-1897.03
175.3497,-14.3985,-1886.88
175.34901,-14.4036,-1887.61
175.34833,-14.4087,-1886.75
175.34765,-14.4138,-1887.42
175.34696,-14.4189,-1884.6
175.34628,-14.424,-1887.44
175.3456,-14.4292,-1889.19
