long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m
136.10379,4.9985,-2692.89,3392968.09,0.5990762969469938,1.6647547910599338
136.10312,4.9935,-2689.73,3392971.56,0.5068725220823473,1.7572365904837868
136.10245,4.9884,-2687.41,3392974.18,0.3735580753929018,2.240156673337033
136.10177,4.9833,-2681.55,3392980.35,0.2797967873046111,2.388801989717899
136.1011,4.9782,-2683.11,3392979.1,0.1539721333797528,2.3009588822546605
136.10043,4.9731,-2684.74,3392977.78,0.1187253277997769,1.9601774265569771
136.09976,4.968,-2685.3,3392977.53,0.122629523159175,1.5081952888897845
136.09912,4.9629,-2686.73,3392976.4,0.0851374140537675,1.4508129181337883
136.09846,4.9578,-2686.82,3392976.62,0.0923813109875054,1.3095620226012348
136.0978,4.9527,-2686.31,3392977.43,0.1125364121497754,1.310767362480229
136.09714,4.9476,-2684.69,3392979.35,0.1466473010457793,1.245475113129389
136.09648,4.9425,-2684.96,3392979.39,0.1304530107892809,1.4001753841218387
136.09582,4.9374,-2684.8,3392979.85,0.2094017836332695,1.0964439068824063
136.09516,4.9323,-2684.18,3392980.78,0.3898765996756134,2.692490198607357
136.0945,4.9272,-2682.61,3392982.65,0.4250485055510089,2.614712004965805
136.09384,4.9221,-2679.31,3392986.25,0.3173890492787571,3.3922191306408283
136.09318,4.917,-2669.46,3392996.41,0.2065119419407847,3.848303963275933
136.09252,4.9119,-2672.65,3392993.52,0.2344529689119071,3.590422038933845
136.09186,4.9068,-2677.41,3392989.07,0.3984318170895005,2.647607099452487
136.0912,4.9017,-2679.91,3392986.87,0.4951958122218589,1.655959302767695
136.09054,4.8966,-2681.62,3392985.46,0.3636604183512785,1.2401404894541472
136.08989,4.8915,-2683.23,3392984.16,0.2669391148995669,1.319246840005048
136.08923,4.8864,-2684.55,3392983.14,0.2349375072593883,0.949351103035288
136.08857,4.8813,-2684.48,3392983.52,0.1829007673413978,0.9038586549152268
136.08791,4.8762,-2682.83,3392985.47,0.1429029166165175,0.9202938070051832
136.08725,4.8711,-2684.46,3392984.14,0.0931606795887991,0.99946781379794
136.08659,4.866,-2685.19,3392983.72,0.089666499414896,0.995192977834885
136.08593,4.8609,-2685.36,3392983.84,0.0563364195546006,1.088855307896266
136.08527,4.8558,-2686.32,3392983.18,0.0272048009288559,0.8916436884880153
136.08461,4.8507,-2685.47,3392984.33,0.0291931840788655,0.7435453841356514
136.08395,4.8456,-2687.35,3392982.75,0.0259514456001012,0.8290833610351684
136.08329,4.8405,-2685.35,3392985.05,0.0354152832606343,0.7727000953015826
136.08263,4.8354,-2686.08,3392984.62,0.0481955762228695,0.721073825152253
136.08197,4.8303,-2685.44,3392985.56,0.0527110526277842,0.7435730603230195
136.08131,4.8252,-2684.2,3392987.09,0.057090878863491,0.7049955432191383
136.08065,4.8201,-2685.15,3392986.44,0.0639360805688614,0.7666046063318618
136.07999,4.815,-2685.23,3392986.66,0.0581336922287214,0.7974257269199894
136.07933,4.8099,-2684.46,3392987.73,0.0400087141280667,0.8489429245377473
136.07867,4.8048,-2684.65,3392987.84,0.0112591892945544,0.8406527809606883
136.07801,4.7997,-2684.14,3392988.65,0.0216646087599297,0.9704667242625942
136.07735,4.7946,-2683.19,3392989.89,0.0331746337528977,0.9511637007662568
136.07669,4.7895,-2685.33,3392988.05,0.0309308593347302,0.9859235283292956
136.07537,4.7793,-2685.69,3392988.29,0.0471734576964815,0.8615432955185159
136.07471,4.7742,-2684.37,3392989.91,0.1354318795836057,0.7216696114926051
136.07405,4.7691,-2685.31,3392989.27,0.1668048182961386,0.7224199456388948
136.07339,4.764,-2684.82,3392990.06,0.1587099130958988,0.7146658338230669
136.07271,4.7589,-2684.64,3392990.53,0.1646884440774032,0.790616719896393
136.07203,4.7538,-2684.53,3392990.93,0.1756037416906633,0.7551612521527147
136.07136,4.7488,-2683.24,3392992.51,0.1684711015749354,0.7530391608211626
136.07069,4.7437,-2683.73,3392992.32,0.1796305625788997,0.7696810306773341
136.07002,4.7386,-2682.39,3392993.95,0.1716718293104767,0.7194122256216345
136.06935,4.7335,-2681.88,3392994.75,0.1617437631332737,0.675452138723277
136.06867,4.7285,-2681.35,3392995.57,0.1555990042331791,0.6602609497807808
136.068,4.7234,-2680.84,3392996.37,0.158462839621374,0.6060685716438725
136.06733,4.7183,-2680.59,3392996.91,0.1702892563349848,0.5861136017305852
136.06666,4.7133,-2680.42,3392997.37,0.2273781629116422,0.3587503478368029
136.06598,4.7082,-2679.67,3392998.42,0.2094701279441105,0.3341229071682212
136.06531,4.7031,-2679.9,3392998.48,0.2105484442909828,0.3478440136325788
136.06464,4.698,-2678.18,3393000.49,0.1669097291671732,1.820610821162784
136.06397,4.693,-2678.04,3393000.92,0.1667722278849536,1.865451828004267
136.0633,4.6879,-2678.47,3393000.78,0.1674502233448484,1.975113516664264
136.06262,4.6828,-2668.37,3393011.17,0.1193251975755793,2.048096114342445
136.06195,4.6777,-2671.43,3393008.4,0.0709319012602357,2.119327081643312
136.06128,4.6727,-2676.57,3393003.56,0.0670959062540306,2.1670777912523365
136.06061,4.6676,-2675.32,3393005.1,0.0576355911041591,2.0153840208095564
136.05994,4.6625,-2675.93,3393004.78,0.1877978369389077,1.465582303990152
136.05859,4.6524,-2674.39,3393006.89,0.3065643396662997,5.50964527002721
136.05792,4.6473,-2673.88,3393007.69,0.3978092441431343,6.217996365524335
136.05725,4.6422,-2672.18,3393009.67,0.430024746394475,6.201998185903101
136.05657,4.6371,-2670.6,3393011.54,0.4089196309174474,5.869796569522625
136.0559,4.6321,-2667.43,3393014.99,0.4073622783967057,5.725244478645509
136.05523,4.627,-2668.01,3393014.7,0.3766743211608261,5.77288606958325
136.05456,4.6219,-2666.25,3393016.75,0.3042495802729795,5.773465030180607
136.05389,4.6168,-2664.91,3393018.37,0.2387742558893719,1.5972805945058166
136.05322,4.6118,-2665.62,3393017.95,0.198055088452055,0.9987759524047992
136.05255,4.6067,-2665.31,3393018.54,0.2037742795970843,1.0728009371555465
136.05188,4.6016,-2666.03,3393018.11,0.2290857533707885,1.3161710733738134
136.05121,4.5965,-2663.93,3393020.49,0.2668333934525491,1.317499024239368
136.04986,4.5864,-2663.3,3393021.7,0.3776468340776504,1.245170093326493
136.04919,4.5813,-2658.57,3393026.71,0.3682098089857453,1.1955183652867332
136.04852,4.5762,-2662.46,3393023.11,0.3894411497161295,1.3136660534315454
136.04785,4.5712,-2660.54,3393025.31,0.3351020997430557,1.3843439278162313
136.04718,4.5661,-2657.95,3393028.19,0.2908280575127838,1.2779878724006175
136.04651,4.561,-2660.42,3393026.01,0.3141040428195416,1.2131411722709202
