long_east_deg,lat_north_deg,altitude_m,radius_m,roughness_rms_m
234.58056,68.7184,-4135.42,3376170.86,0.7613738678208115
234.57816,68.7134,-4134.68,3376172.69,0.831326093091311
234.57576,68.7085,-4137.3,3376171.17,1.4020757900507443
234.57336,68.7035,-4138.43,3376171.13,2.176855027676205
234.57095,68.6985,-4138.12,3376172.53,2.3978150283922917
234.56626,68.6886,-4130.64,3376182.21,1.2027223156158515
234.56388,68.6836,-4128.33,3376185.62,1.7109864735319003
234.56151,68.6786,-4124.6,3376190.45,1.9008686748697796
234.55914,68.6737,-4123.88,3376192.27,1.7743923934318806
234.55677,68.6687,-4122.33,3376194.92,1.44609635437559
234.5544,68.6637,-4122.06,3376196.29,1.0533800901345187
234.55202,68.6587,-4121.71,3376197.73,1.0656796609677381
234.54965,68.6538,-4119.86,3376200.68,0.8585091928326256
234.54728,68.6488,-4120.49,3376201.15,0.8097290188500158
234.54491,68.6438,-4121.83,3376200.91,1.222870937375165
234.54253,68.6389,-4121.09,3376202.75,1.4137759722526537
234.54016,68.6339,-4119.49,3376205.45,1.2673034576674391
234.53779,68.6289,-4116.26,3376209.77,1.1482794549846522
234.53542,68.6239,-4115.88,3376211.25,1.0830759008546427
234.53305,68.619,-4116.22,3376212.01,0.9084718701017017
234.53067,68.614,-4115.03,3376214.3,1.2215477827411962
234.5283,68.609,-4113.35,3376217.08,1.7401844420294528
234.52593,68.6041,-4112.28,3376219.25,1.6766664550385013
234.52356,68.5991,-4114.56,3376218.07,1.310249776802233
234.52104,68.5942,-4115.22,3376218.5,1.251850893417716
234.51872,68.5892,-4114.49,3376220.33,1.1931271026997323
234.51641,68.5842,-4113.05,3376222.87,1.182376384151832
234.5141,68.5792,-4112.21,3376224.82,1.0887668533380217
234.51179,68.5742,-4111.94,3376226.19,1.085564454968863
234.50947,68.5693,-4112.81,3376226.42,1.1718665870869482
234.50716,68.5643,-4111.21,3376229.13,1.232981415812928
234.50485,68.5593,-4107.48,3376233.96,1.155976222242939
234.50254,68.5543,-4107.2,3376235.34,1.2949046011345824
234.50022,68.5493,-4109.48,3376234.17,1.4538244892759438
234.49791,68.5444,-4108.23,3376236.52,1.4688285583911689
234.4956,68.5394,-4106.13,3376239.73,1.812002836227064
234.49329,68.5344,-4103.79,3376243.17,2.2749046712291965
234.49097,68.5294,-4103.87,3376244.19,2.1717790200910922
234.48866,68.5244,-4105.81,3376243.36,1.7374216007547227
234.48635,68.5195,-4107.02,3376243.25,1.4163023857074757
234.48172,68.5095,-4107.42,3376245.06,1.4081067116331596
234.47941,68.5045,-4106.24,3376247.34,1.5999101328405765
234.4771,68.4995,-4107.8,3376246.88,1.421907016414223
234.47486,68.4945,-4109.02,3376246.77,1.2200670528484587
234.47257,68.4895,-4110.96,3376245.94,1.0807767423581705
234.47029,68.4846,-4112.01,3376246.0,0.8747492724390377
234.468,68.4796,-4113.59,3376245.53,0.9576116604524801
234.46572,68.4746,-4114.03,3376246.2,0.6497387353284515
234.46343,68.4696,-4114.44,3376246.9,0.7185741416015544
234.46115,68.4646,-4113.98,3376248.47,0.6882819580011845
234.45886,68.4596,-4115.88,3376247.68,0.664438117485164
234.45658,68.4547,-4116.79,3376247.88,0.6798674209322426
234.4543,68.4497,-4116.85,3376248.93,0.6861862439116921
234.45201,68.4447,-4117.19,3376249.69,0.7991723310114506
234.44973,68.4397,-4119.01,3376248.98,0.9880618839243387
234.44744,68.4347,-4118.76,3376250.34,1.0895615563623375
234.44516,68.4297,-4119.98,3376250.23,1.1154287450466787
234.44287,68.4248,-4117.7,3376253.62,0.8329693323300873
234.44059,68.4198,-4116.65,3376255.78,0.8688055049220145
234.4383,68.4148,-4117.0,3376256.54,0.9061585522166248
234.43602,68.4098,-4118.57,3376256.08,0.9632453756759229
234.43373,68.4048,-4117.17,3376258.59,1.011381501803905
234.43145,68.3998,-4117.4,3376259.47,1.3394395746129384
234.42934,68.3948,-4119.04,3376258.94,1.6010487654307288
234.42702,68.3899,-4116.76,3376262.33,1.7289946375242167
234.42471,68.3849,-4115.34,3376264.86,1.7191662878612026
234.42239,68.3799,-4114.63,3376266.68,1.3175413953654893
234.42008,68.3749,-4112.85,3376269.57,1.2132161958946464
234.41776,68.3699,-4109.16,3376274.38,1.3467239123732744
234.41545,68.3649,-4105.44,3376279.21,1.5860909816424347
234.41313,68.36,-4101.99,3376283.77,1.8182538517806637
234.41082,68.355,-4098.29,3376288.58,1.8523097467782161
234.4085,68.35,-4098.38,3376289.6,1.4998539502864845
234.40619,68.345,-4096.97,3376292.13,1.1765813536218015
234.40387,68.34,-4096.97,3376293.24,1.0124531365260043
234.40156,68.3351,-4096.27,3376295.05,1.2514503844813205
234.39924,68.3301,-4096.0,3376296.43,1.4696744394808718
234.39693,68.3251,-4094.13,3376299.41,1.9588667769083747
234.39462,68.3201,-4091.88,3376302.78,2.158839911691386
234.3923,68.3151,-4093.83,3376301.94,2.0096962748395466
234.38999,68.3101,-4094.7,3376302.18,1.6534716704909447
234.38767,68.3052,-4095.41,3376302.58,1.6801580494428894
234.38536,68.3002,-4096.63,3376302.47,1.6776149061372785
234.38297,68.2952,-4097.01,3376303.21,1.537198461783827
234.38066,68.2902,-4095.25,3376306.09,1.4358102120048843
234.37835,68.2852,-4095.62,3376306.84,1.5826478552700094
234.37604,68.2802,-4094.07,3376309.5,1.9105566311804696
234.37373,68.2753,-4093.37,3376311.32,1.399245189123205
234.37142,68.2703,-4092.42,3376313.39,1.5069026619343804
234.36911,68.2653,-4091.38,3376315.54,1.5425369709223982
234.3668,68.2603,-4089.1,3376318.94,1.5740074295042068
234.36449,68.2553,-4088.05,3376321.11,1.4809208287712898
234.36218,68.2503,-4086.28,3376323.99,1.8937513289871162
234.35987,68.2454,-4085.24,3376326.15,2.480368382439068
234.35756,68.2404,-4084.88,3376327.62,2.4795534804642503
234.35525,68.2354,-4084.88,3376328.74,2.820786743721323
234.35294,68.2304,-4086.83,3376327.91,2.824863353391796
234.35063,68.2254,-4087.28,3376328.57,2.3954328399432203
234.34832,68.2204,-4090.37,3376326.6,2.2485849411041734
234.34601,68.2155,-4092.32,3376325.77,1.7524822853322775
234.34139,68.2055,-4098.36,3376321.96,1.0119643606615725
234.33908,68.2005,-4101.26,3376320.18,1.0082106331734164
234.33691,68.1954,-4106.57,3376315.99,1.1392833734357448
234.33458,68.1905,-4107.5,3376316.18,1.4717134580286222
234.33225,68.1855,-4111.17,3376313.62,1.9690935221149743
234.32992,68.1806,-4116.56,3376309.35,2.2707281458176327
234.32758,68.1756,-4123.01,3376304.01,1.954792379188212
234.32525,68.1706,-4129.44,3376298.7,2.1096093364673285
234.32292,68.1657,-4136.17,3376293.09,2.179637631274324
234.32059,68.1607,-4142.01,3376288.36,2.2222482937362202
234.31826,68.1557,-4145.02,3376286.47,2.4529137833358052
234.31593,68.1508,-4149.2,3376283.4,2.785288467241246
234.3136,68.1458,-4149.98,3376283.74,3.1262177838189142
234.31127,68.1409,-4150.01,3376284.82,3.2073255180788856
234.30893,68.1359,-4147.89,3376288.06,2.8877990685411365
234.3066,68.1309,-4144.45,3376292.61,2.8741198394989893
234.30427,68.126,-4144.94,3376293.24,2.778911479862399
234.30194,68.121,-4149.09,3376290.21,2.6898837364036554
234.29728,68.1111,-4143.26,3376298.27,2.4046217070717866
234.29495,68.1061,-4140.29,3376302.35,1.3455745351802777
234.29261,68.1012,-4138.18,3376305.58,1.1792636607632185
234.29022,68.0962,-4134.49,3376310.37,1.3115291586297448
234.2879,68.0913,-4131.07,3376314.91,1.3209792153829367
234.28557,68.0863,-4129.41,3376317.69,1.1095485463997186
234.28325,68.0814,-4128.37,3376319.84,0.9141270130071489
234.28092,68.0764,-4127.7,3376321.63,0.9569888335899417
