long_east_deg,lat_north_deg,altitude_m,radius_m,roughness_rms_m
175.39332,-14.0712,-1929.58,3392380.98,2.0837204748738323
175.39264,-14.0763,-1929.02,3392380.78,2.31525566247208
175.39196,-14.0814,-1928.96,3392380.09,2.2389368146478925
175.39128,-14.0865,-1928.53,3392379.76,2.288541214999324
175.3906,-14.0916,-1925.32,3392382.22,2.103494835031157
175.38992,-14.0968,-1925.19,3392381.59,2.132771865272777
175.38924,-14.1019,-1924.44,3392381.58,2.0496977978654813
175.38856,-14.107,-1918.64,3392386.63,2.01371123738166
175.38788,-14.1121,-1920.06,3392384.45,2.061368919482205
175.3872,-14.1172,-1919.16,3392384.59,1.9784322030753516
175.38652,-14.1223,-1920.22,3392382.78,1.787297469242502
175.38585,-14.1274,-1919.37,3392382.87,1.6576871284779124
175.38517,-14.1326,-1919.35,3392382.13,1.6663591896310375
175.38448,-14.1377,-1917.25,3392383.48,1.5155148413287705
175.3838,-14.1428,-1916.88,3392383.09,1.761831606343584
175.38312,-14.1479,-1916.37,3392382.84,1.7496690248142373
175.38244,-14.153,-1913.92,3392384.53,1.8109500873316375
175.38176,-14.1582,-1915.75,3392381.95,1.7676249901567955
175.38108,-14.1633,-1914.42,3392382.52,1.6721690038318566
175.3804,-14.1684,-1914.37,3392381.81,1.5479545330936144
175.37972,-14.1735,-1913.54,3392381.88,1.52398212418182
175.37904,-14.1786,-1911.08,3392383.59,1.4763007603414686
175.37836,-14.1837,-1913.21,3392380.7,1.3812417731060755
175.37768,-14.1889,-1911.27,3392381.88,1.3627388950625776
175.37699,-14.194,-1907.05,3392385.34,1.6254644787463386
175.37631,-14.1991,-1910.0,3392381.64,1.7754107792699665
175.37563,-14.2042,-1910.57,3392380.31,1.5770761450375743
175.37495,-14.2093,-1910.93,3392379.19,1.7137599883628505
175.37427,-14.2144,-1912.54,3392376.82,1.724645011734999
175.37359,-14.2196,-1911.1,3392377.51,1.7059209742618462
175.37291,-14.2247,-1910.23,3392377.62,1.5908832950463287
175.37223,-14.2298,-1910.38,3392376.71,1.541682853492769
175.37155,-14.2349,-1907.76,3392378.57,1.6582548008273301
175.37019,-14.2452,-1906.33,3392378.49,2.7255935705519034
175.36951,-14.2503,-1905.0,3392379.06,2.682459616945809
175.36883,-14.2554,-1901.66,3392381.64,2.6738924590134516
175.36815,-14.2605,-1902.62,3392379.93,2.3058934267592086
175.36746,-14.2656,-1902.6,3392379.19,2.376394635990413
175.36678,-14.2707,-1900.86,3392380.17,2.029570183259184
175.3661,-14.2758,-1899.29,3392380.98,1.7446074515509173
175.36541,-14.2809,-1896.5,3392383.02,1.855202404514997
175.36473,-14.2861,-1892.99,3392385.77,1.9732099512008863
175.36405,-14.2912,-1891.52,3392386.48,2.005666246450228
175.36336,-14.2963,-1889.57,3392387.67,1.7378194407058205
175.36268,-14.3014,-1888.72,3392387.77,2.024537580546001
175.362,-14.3065,-1885.5,3392390.23,5.488116366921421
175.36132,-14.3116,-1879.86,3392395.11,9.913764177496523
175.36063,-14.3167,-1882.0,3392392.21,12.434960375443074
175.35995,-14.3218,-1898.04,3392375.42,11.966437091073624
175.35927,-14.3269,-1915.08,3392357.62,11.178133547848578
175.35858,-14.3321,-1925.52,3392346.42,11.18320535187927
175.3579,-14.3372,-1920.43,3392350.75,12.895572559612075
175.35722,-14.3423,-1909.51,3392360.92,12.786726281111946
175.35653,-14.3474,-1896.25,3392373.42,11.545376670907668
175.35585,-14.3525,-1890.09,3392378.82,9.213717180623966
175.35517,-14.3576,-1898.37,3392369.79,5.810072331847143
175.35448,-14.3627,-1899.72,3392367.68,3.2112560926058182
175.3538,-14.3678,-1901.75,3392364.89,2.1496792712796085
175.35312,-14.3729,-1901.71,3392364.17,1.6742276157304143
175.35243,-14.378,-1901.55,3392363.57,2.4985692455404838
175.35175,-14.3832,-1901.04,3392363.33,3.1588667662644903
175.35107,-14.3883,-1897.91,3392365.7,3.1024153168279116
175.35038,-14.3934,-1897.03,3392365.82,2.9053462624611184
175.3497,-14.3985,-1886.88,3392375.21,3.035348454351413
175.34901,-14.4036,-1887.61,3392373.72,3.104998423040599
175.34833,-14.4087,-1886.75,3392373.83,3.250010642467048
175.34765,-14.4138,-1887.42,3392372.4,3.1789443028959075
175.34696,-14.4189,-1884.6,3392374.46,3.0731811901576696
175.34628,-14.424,-1887.44,3392370.86,2.9678721571081668
175.3456,-14.4292,-1889.19,3392368.35,3.3685815209373664
175.34491,-14.4343,-1891.68,3392365.11,4.068327881897658
175.34423,-14.4394,-1891.98,3392364.05,3.9509813657857134
175.34354,-14.4445,-1880.73,3392374.55,4.081346031598387
175.34286,-14.4496,-1875.98,3392378.54,4.128445588750408
175.34218,-14.4547,-1882.31,3392371.45,4.122133284695358
175.3415,-14.4598,-1890.41,3392362.59,4.674930985382998
175.34082,-14.4649,-1890.99,3392361.25,4.528813540229867
175.34013,-14.4701,-1888.29,3392363.19,3.897035633599042
175.33945,-14.4752,-1878.07,3392372.65,3.770920071252569
175.33877,-14.4803,-1885.9,3392364.06,4.474450739135362
175.33809,-14.4854,-1887.55,3392361.65,4.318789982532663
175.33741,-14.4905,-1893.05,3392355.39,3.508480221864258
175.33672,-14.4956,-1892.93,3392354.75,2.668580650605137
175.33604,-14.5007,-1890.58,3392356.34,2.4126558553128117
175.33536,-14.5059,-1893.07,3392353.09,2.5365366530633504
175.33468,-14.511,-1893.37,3392352.03,2.4877538173525844
175.334,-14.5161,-1894.69,3392349.95,2.773945246504375
175.33331,-14.5212,-1895.12,3392348.76,2.168192680327531
