long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg
136.10379,4.9985,-2692.89,3392968.09,0.5990762969469938
136.10312,4.9935,-2689.73,3392971.56,0.5068725220823473
136.10245,4.9884,-2687.41,3392974.18,0.3735580753929018
136.10177,4.9833,-2681.55,3392980.35,0.2797967873046111
136.1011,4.9782,-2683.11,3392979.1,0.1539721333797528
136.10043,4.9731,-2684.74,3392977.78,0.11872532779977697
136.09976,4.968,-2685.3,3392977.53,0.122629523159175
136.09912,4.9629,-2686.73,3392976.4,0.08513741405376757
136.09846,4.9578,-2686.82,3392976.62,0.09238131098750546
136.0978,4.9527,-2686.31,3392977.43,0.11253641214977544
136.09714,4.9476,-2684.69,3392979.35,0.14664730104577933
136.09648,4.9425,-2684.96,3392979.39,0.1304530107892809
136.09582,4.9374,-2684.8,3392979.85,0.20940178363326958
136.09516,4.9323,-2684.18,3392980.78,0.3898765996756134
136.0945,4.9272,-2682.61,3392982.65,0.4250485055510089
136.09384,4.9221,-2679.31,3392986.25,0.31738904927875716
136.09318,4.917,-2669.46,3392996.41,0.20651194194078473
136.09252,4.9119,-2672.65,3392993.52,0.23445296891190714
136.09186,4.9068,-2677.41,3392989.07,0.39843181708950054
136.0912,4.9017,-2679.91,3392986.87,0.4951958122218589
136.09054,4.8966,-2681.62,3392985.46,0.36366041835127855
136.08989,4.8915,-2683.23,3392984.16,0.2669391148995669
136.08923,4.8864,-2684.55,3392983.14,0.2349375072593883
136.08857,4.8813,-2684.48,3392983.52,0.1829007673413978
136.08791,4.8762,-2682.83,3392985.47,0.14290291661651752
136.08725,4.8711,-2684.46,3392984.14,0.09316067958879914
136.08659,4.866,-2685.19,3392983.72,0.08966649941489604
136.08593,4.8609,-2685.36,3392983.84,0.05633641955460061
136.08527,4.8558,-2686.32,3392983.18,0.027204800928855927
136.08461,4.8507,-2685.47,3392984.33,0.029193184078865515
136.08395,4.8456,-2687.35,3392982.75,0.02595144560010127
136.08329,4.8405,-2685.35,3392985.05,0.035415283260634325
136.08263,4.8354,-2686.08,3392984.62,0.048195576222869525
136.08197,4.8303,-2685.44,3392985.56,0.05271105262778424
136.08131,4.8252,-2684.2,3392987.09,0.05709087886349104
136.08065,4.8201,-2685.15,3392986.44,0.06393608056886141
136.07999,4.815,-2685.23,3392986.66,0.058133692228721424
136.07933,4.8099,-2684.46,3392987.73,0.04000871412806673
136.07867,4.8048,-2684.65,3392987.84,0.011259189294554425
136.07801,4.7997,-2684.14,3392988.65,0.02166460875992978
136.07735,4.7946,-2683.19,3392989.89,0.03317463375289774
136.07669,4.7895,-2685.33,3392988.05,0.030930859334730255
136.07537,4.7793,-2685.69,3392988.29,0.04717345769648157
136.07471,4.7742,-2684.37,3392989.91,0.13543187958360572
136.07405,4.7691,-2685.31,3392989.27,0.16680481829613866
136.07339,4.764,-2684.82,3392990.06,0.15870991309589885
136.07271,4.7589,-2684.64,3392990.53,0.1646884440774032
136.07203,4.7538,-2684.53,3392990.93,0.17560374169066337
136.07136,4.7488,-2683.24,3392992.51,0.16847110157493542
136.07069,4.7437,-2683.73,3392992.32,0.17963056257889973
136.07002,4.7386,-2682.39,3392993.95,0.17167182931047673
136.06935,4.7335,-2681.88,3392994.75,0.16174376313327374
136.06867,4.7285,-2681.35,3392995.57,0.15559900423317918
136.068,4.7234,-2680.84,3392996.37,0.158462839621374
136.06733,4.7183,-2680.59,3392996.91,0.17028925633498487
136.06666,4.7133,-2680.42,3392997.37,0.22737816291164226
136.06598,4.7082,-2679.67,3392998.42,0.20947012794411052
136.06531,4.7031,-2679.9,3392998.48,0.21054844429098288
136.06464,4.698,-2678.18,3393000.49,0.16690972916717323
136.06397,4.693,-2678.04,3393000.92,0.16677222788495363
136.0633,4.6879,-2678.47,3393000.78,0.16745022334484844
136.06262,4.6828,-2668.37,3393011.17,0.11932519757557936
136.06195,4.6777,-2671.43,3393008.4,0.07093190126023571
136.06128,4.6727,-2676.57,3393003.56,0.06709590625403068
136.06061,4.6676,-2675.32,3393005.1,0.057635591104159195
136.05994,4.6625,-2675.93,3393004.78,0.18779783693890775
136.05859,4.6524,-2674.39,3393006.89,0.30656433966629976
