long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg
354.68603,-2.4446,-1486.34,3394040.2,
354.68536,-2.4395,-1486.17,3394040.49,
354.68469,-2.4344,-1483.66,3394043.12,
354.68402,-2.4294,-1480.78,3394046.12,
354.68334,-2.4243,-1475.98,3394051.05,1.4199776873214378
354.68267,-2.4192,-1470.49,3394056.66,1.1661211725893947
354.682,-2.4141,-1463.89,3394063.38,1.0991110006678653
354.68133,-2.4091,-1462.56,3394064.82,1.129660821907376
354.68066,-2.404,-1466.0,3394061.5,1.0055239833325125
354.68,-2.3989,-1456.31,3394071.31,0.300179911054408
354.67933,-2.3938,-1449.71,3394078.03,1.0186536772353814
354.67866,-2.3887,-1477.54,3394050.31,2.8229508909255543
354.67799,-2.3837,-1515.19,3394012.78,4.943894615516288
354.67732,-2.3786,-1548.67,3393979.42,6.796295499355339
354.67665,-2.3735,-1581.77,3393946.44,8.81254139979362
354.67598,-2.3684,-1621.26,3393907.07,10.796680583190808
354.67531,-2.3633,-1642.32,3393886.12,8.815850873441965
354.67465,-2.3583,-1651.86,3393876.7,8.73191641204793
354.67398,-2.3532,-1660.77,3393867.91,7.9314189228967615
354.67331,-2.3481,-1661.03,3393867.77,7.7595224986099
354.67264,-2.343,-1665.59,3393863.33,7.597015420548672
354.67197,-2.338,-1674.22,3393854.81,7.213378042311625
354.6713,-2.3329,-1675.67,3393853.48,6.789805337578952
354.67063,-2.3278,-1680.69,3393848.58,6.316523304268706
354.66994,-2.3227,-1684.91,3393844.47,5.772105960192048
354.66928,-2.3177,-1686.51,3393842.98,5.153407519213499
354.66861,-2.3126,-1690.03,3393839.57,4.59852552808889
354.66795,-2.3075,-1693.13,3393836.59,4.091934142979495
354.66728,-2.3024,-1696.64,3393833.19,3.599885437852263
354.66662,-2.2973,-1696.63,3393833.31,3.3693928652955187
354.66595,-2.2922,-1694.59,3393835.46,3.2915010869896992
354.66529,-2.2872,-1693.2,3393836.97,3.0564725242448496
354.66462,-2.2821,-1687.43,3393842.85,4.678717782728171
354.66396,-2.277,-1681.17,3393849.22,5.034795561205646
354.66329,-2.2719,-1670.66,3393859.85,5.213474188729028
354.66263,-2.2668,-1657.82,3393872.8,5.316356919603947
354.66196,-2.2618,-1645.33,3393885.4,5.24175633521831
354.6613,-2.2567,-1633.3,3393897.55,5.271700143872577
354.66063,-2.2516,-1619.85,3393911.11,5.242144621013954
354.65997,-2.2465,-1612.46,3393918.61,5.330976328586834
354.6593,-2.2414,-1597.06,3393934.12,5.331479631234671
354.65864,-2.2363,-1586.67,3393944.63,5.565994585038863
354.65797,-2.2313,-1565.62,3393965.79,5.691792246326097
354.65731,-2.2262,-1546.75,3393984.77,5.601231093303733
354.65666,-2.2211,-1523.02,3394008.62,5.57994515512453
354.65599,-2.216,-1508.23,3394023.52,2.7904413965364654
354.65533,-2.2109,-1503.87,3394027.98,2.7926759672799033
354.65467,-2.2058,-1505.97,3394025.99,2.470884262656019
354.654,-2.2007,-1486.34,3394045.73,2.20376623087947
354.65334,-2.1957,-1465.92,3394066.26,1.91917021099715
354.65268,-2.1906,-1456.31,3394075.97,1.5413991919220156
354.65202,-2.1855,-1453.43,3394078.96,0.8735628462276369
354.65135,-2.1804,-1452.04,3394080.46,0.36703663324068947
354.65069,-2.1753,-1449.88,3394082.73,0.18206571719765482
354.65003,-2.1702,-1450.07,3394082.64,0.17858268654739612
354.64937,-2.1651,-1450.5,3394082.32,0.19118190592015127
354.6487,-2.1601,-1451.96,3394080.97,0.31399610798734184
354.64804,-2.155,-1451.82,3394081.22,0.4290948615899202
354.64738,-2.1499,-1448.08,3394085.06,0.5218747314289227
354.64672,-2.1448,-1446.05,3394087.2,0.4229507683757006
354.64605,-2.1397,-1447.31,3394086.05,0.2528165306945125
354.64539,-2.1346,-1450.47,3394083.0,0.47348725833351263
354.64473,-2.1295,-1444.79,3394088.78,0.6649036006934957
354.64407,-2.1245,-1441.19,3394092.49,0.6995700285333564
354.64339,-2.1194,-1436.76,3394097.03,0.7516365548008193
354.64273,-2.1143,-1433.14,3394100.75,0.8017669333861459
