long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg
234.58056,68.7184,-4135.42,3376170.86,0.47291126616442863
234.57816,68.7134,-4134.68,3376172.69,0.4011682890661728
234.57576,68.7085,-4137.3,3376171.17,0.3119241000526112
234.57336,68.7035,-4138.43,3376171.13,0.24362589211284158
234.57095,68.6985,-4138.12,3376172.53,0.29404114452056823
234.56626,68.6886,-4130.64,3376182.21,0.532825415092521
234.56388,68.6836,-4128.33,3376185.62,0.5039076930177839
234.56151,68.6786,-4124.6,3376190.45,0.41204262682053977
234.55914,68.6737,-4123.88,3376192.27,0.37431238830187363
234.55677,68.6687,-4122.33,3376194.92,0.3818333230810634
234.5544,68.6637,-4122.06,3376196.29,0.3713120683466673
234.55202,68.6587,-4121.71,3376197.73,0.3242730332128199
234.54965,68.6538,-4119.86,3376200.68,0.26381318649515967
234.54728,68.6488,-4120.49,3376201.15,0.2007263518242568
234.54491,68.6438,-4121.83,3376200.91,0.2906868499555437
234.54253,68.6389,-4121.09,3376202.75,0.3593749767658056
234.54016,68.6339,-4119.49,3376205.45,0.37399021264021454
234.53779,68.6289,-4116.26,3376209.77,0.41793048904995683
234.53542,68.6239,-4115.88,3376211.25,0.4434727886298205
234.53305,68.619,-4116.22,3376212.01,0.48291560491117236
234.53067,68.614,-4115.03,3376214.3,0.4096303802489078
234.5283,68.609,-4113.35,3376217.08,0.1755860668404857
234.52593,68.6041,-4112.28,3376219.25,0.07155503479210758
234.52356,68.5991,-4114.56,3376218.07,0.042489455632772004
234.52104,68.5942,-4115.22,3376218.5,0.04250423567052662
234.51872,68.5892,-4114.49,3376220.33,0.07119184491937101
234.51641,68.5842,-4113.05,3376222.87,0.1710455830527337
234.5141,68.5792,-4112.21,3376224.82,0.21131169427964766
234.51179,68.5742,-4111.94,3376226.19,0.21704593589113602
234.50947,68.5693,-4112.81,3376226.42,0.1984594691904879
234.50716,68.5643,-4111.21,3376229.13,0.1891253556427456
234.50485,68.5593,-4107.48,3376233.96,0.21646506605039004
234.50254,68.5543,-4107.2,3376235.34,0.25628096298649805
234.50022,68.5493,-4109.48,3376234.17,0.23696802086617916
234.49791,68.5444,-4108.23,3376236.52,0.22698992440864615
234.4956,68.5394,-4106.13,3376239.73,0.1719709807836228
234.49329,68.5344,-4103.79,3376243.17,0.0632522275957742
234.49097,68.5294,-4103.87,3376244.19,0.10194989141522419
234.48866,68.5244,-4105.81,3376243.36,0.1830453741091697
234.48635,68.5195,-4107.02,3376243.25,0.23279228434076046
