long_east_deg,lat_north_deg,altitude_m,radius_m,slope_deg,roughness_rms_m,source_file
301.29858,-13.0022,-1520.94,3393257.74,,,too_rough.csv
301.2979,-13.0073,-1482.97,3393294.95,,,too_rough.csv
301.29721,-13.0124,-1511.77,3393265.39,,,too_rough.csv
301.29653,-13.0176,-1619.14,3393157.26,,,too_rough.csv
301.29584,-13.0227,-1787.83,3392987.81,,,too_rough.csv
301.29516,-13.0278,-1982.67,3392792.21,,,too_rough.csv
301.29448,-13.0329,-2153.63,3392620.49,,,too_rough.csv
301.2938,-13.038,-2317.91,3392455.45,,,too_rough.csv
301.29312,-13.0431,-2481.8,3392290.8,,,too_rough.csv
301.29243,-13.0482,-2642.36,3392129.48,,,too_rough.csv
301.29175,-13.0533,-2793.44,3391977.64,,,too_rough.csv
301.29107,-13.0585,-2943.72,3391826.6,,,too_rough.csv
301.29038,-13.0636,-3052.95,3391716.61,,,too_rough.csv
301.2897,-13.0687,-3126.45,3391642.35,,,too_rough.csv
301.28902,-13.0738,-3218.68,3391549.36,,,too_rough.csv
301.28833,-13.0789,-3291.22,3391476.06,,,too_rough.csv
301.28765,-13.084,-3330.76,3391435.76,,,too_rough.csv
301.28696,-13.0891,-3350.58,3391415.18,,,too_rough.csv
301.28628,-13.0943,-3429.66,3391335.34,,,too_rough.csv
301.28491,-13.1045,-3609.28,3391154.22,,,too_rough.csv
301.28423,-13.1096,-3660.51,3391102.23,,,too_rough.csv
301.28354,-13.1147,-3751.04,3391010.95,,,too_rough.csv
301.28286,-13.1198,-3795.63,3390965.61,,,too_rough.csv
301.28217,-13.1249,-3821.19,3390939.3,,,too_rough.csv
301.28149,-13.1301,-3854.53,3390905.2,,,too_rough.csv
301.2808,-13.1352,-3870.73,3390888.25,,,too_rough.csv
301.28012,-13.1403,-3907.86,3390850.37,,,too_rough.csv
301.27943,-13.1454,-4004.94,3390752.54,,,too_rough.csv
301.27875,-13.1505,-4139.57,3390617.15,,,too_rough.csv
301.27806,-13.1556,-4216.28,3390539.69,,,too_rough.csv
301.27738,-13.1608,-4222.46,3390532.76,,,too_rough.csv
301.27669,-13.1659,-4222.76,3390531.71,,,too_rough.csv
301.27601,-13.171,-4207.55,3390546.16,,,too_rough.csv
301.27532,-13.1761,-4170.73,3390582.23,,,too_rough.csv
301.27463,-13.1812,-4101.86,3390650.35,,,too_rough.csv
301.27394,-13.1863,-3994.31,3390757.15,,,too_rough.csv
301.27326,-13.1915,-4008.75,3390741.95,,,too_rough.csv
301.27257,-13.1966,-4055.2,3390694.75,,,too_rough.csv
301.27189,-13.2017,-4118.97,3390630.23,,,too_rough.csv
301.27121,-13.2068,-4342.76,3390405.7,,,too_rough.csv
301.27053,-13.2119,-4499.78,3390247.93,,,too_rough.csv
301.26984,-13.217,-4536.91,3390210.05,,,too_rough.csv
301.26915,-13.2221,-4367.01,3390379.21,,,too_rough.csv
301.26846,-13.2273,-4325.96,3390419.51,,,too_rough.csv
301.26778,-13.2324,-4474.84,3390269.88,,,too_rough.csv
301.2671,-13.2375,-4626.91,3390117.07,,,too_rough.csv
301.26641,-13.2426,-4699.4,3390043.83,,,too_rough.csv
301.26573,-13.2477,-4713.15,3390029.33,,,too_rough.csv
301.26504,-13.2528,-4735.12,3390006.62,,,too_rough.csv
301.26435,-13.2579,-4758.62,3389982.37,,,too_rough.csv
301.26367,-13.2631,-4776.04,3389964.2,,,too_rough.csv
301.26298,-13.2682,-4798.6,3389940.9,,,too_rough.csv
301.2623,-13.2733,-4837.43,3389901.32,,,too_rough.csv
301.26161,-13.2784,-4863.85,3389874.15,,,too_rough.csv
301.26092,-13.2835,-4891.98,3389845.28,,,too_rough.csv
301.26024,-13.2886,-4914.87,3389821.64,,,too_rough.csv
301.25955,-13.2938,-4933.24,3389802.52,,,too_rough.csv
301.25887,-13.2989,-4951.65,3389783.37,,,too_rough.csv
301.25818,-13.304,-4967.49,3389766.78,,,too_rough.csv
301.25749,-13.3091,-4982.87,3389750.66,,,too_rough.csv
301.25681,-13.3142,-4994.04,3389738.75,,,too_rough.csv
301.25612,-13.3193,-5004.67,3389727.38,,,too_rough.csv
301.25475,-13.3296,-5021.66,3389708.91,,,too_rough.csv
301.25406,-13.3347,-5028.45,3389701.38,,,too_rough.csv
301.25338,-13.3398,-5019.04,3389710.05,,,too_rough.csv
301.25269,-13.3449,-5011.63,3389716.72,,,too_rough.csv
301.252,-13.35,-5013.23,3389714.38,,,too_rough.csv
301.25132,-13.3551,-5015.75,3389711.12,,,too_rough.csv
301.25063,-13.3603,-5018.88,3389707.25,,,too_rough.csv
301.24994,-13.3654,-5011.1,3389714.29,,,too_rough.csv
301.24926,-13.3705,-4993.83,3389730.82,,,too_rough.csv
301.24857,-13.3756,-4968.79,3389755.12,,,too_rough.csv
301.24788,-13.3807,-4929.62,3389793.55,,,too_rough.csv
301.24719,-13.3858,-4887.23,3389835.2,,,too_rough.csv
301.24651,-13.391,-4843.76,3389877.93,,,too_rough.csv
301.24582,-13.3961,-4807.81,3389913.14,,,too_rough.csv
301.24513,-13.4012,-4778.32,3389941.89,,,too_rough.csv
301.24445,-13.4063,-4758.56,3389960.91,,,too_rough.csv
301.24377,-13.4114,-4640.16,3390078.57,,,too_rough.csv
301.24309,-13.4166,-4555.08,3390162.92,,,too_rough.csv
301.24241,-13.4217,-4527.07,3390190.2,,,too_rough.csv
301.24173,-13.4268,-4509.8,3390206.73,,,too_rough.csv
301.24105,-13.4319,-4496.73,3390219.07,,,too_rough.csv
301.24037,-13.437,-4520.14,3390194.93,,,too_rough.csv
301.23969,-13.4421,-4535.57,3390178.76,,,too_rough.csv
301.23901,-13.4473,-4555.05,3390158.55,,,too_rough.csv
301.23834,-13.4524,-4573.47,3390139.4,,,too_rough.csv
301.23766,-13.4575,-4594.13,3390118.0,,,too_rough.csv
301.23698,-13.4626,-4564.51,3390146.89,,,too_rough.csv
301.2363,-13.4677,-4637.25,3390073.42,,,too_rough.csv
301.23562,-13.4729,-4667.72,3390042.21,,,too_rough.csv
301.23495,-13.478,-4681.17,3390028.03,,,too_rough.csv
301.23427,-13.4831,-4702.29,3390006.18,,,too_rough.csv
301.23359,-13.4882,-4709.88,3389997.85,,,too_rough.csv
301.23291,-13.4933,-4723.79,3389983.21,,,too_rough.csv
301.23223,-13.4984,-4732.44,3389973.83,,,too_rough.csv
301.23155,-13.5036,-4740.07,3389965.46,,,too_rough.csv
301.23087,-13.5087,-4745.68,3389959.12,,,too_rough.csv
301.2302,-13.5138,-4746.16,3389957.92,,,too_rough.csv
301.22952,-13.5189,-4752.99,3389950.36,,,too_rough.csv
301.22884,-13.524,-4755.26,3389947.36,,,too_rough.csv
301.22816,-13.5291,-4753.34,3389948.56,,,too_rough.csv
301.22748,-13.5343,-4759.02,3389942.15,,,too_rough.csv
301.2268,-13.5394,-4770.4,3389930.04,,,too_rough.csv
301.22612,-13.5445,-4842.79,3389856.93,,,too_rough.csv
301.22545,-13.5496,-4861.58,3389837.41,,,too_rough.csv
301.22477,-13.5547,-4890.44,3389807.82,,,too_rough.csv
301.22409,-13.5598,-4925.74,3389771.8,,,too_rough.csv
301.22341,-13.565,-4956.63,3389740.18,,,too_rough.csv
301.22273,-13.5701,-4985.14,3389710.94,,,too_rough.csv
