long_East,lat_North,topography, MOLArange,  planet_rad, c,A,  Ephermis Time,            UTC,          Orbit
301.29858,-13.00220,   -1520.94, 377868.78,  3393257.74,1,0, -26488127.54810,1999-02-28T22:10:08.267,  1583
301.29790,-13.00730,   -1482.97, 377828.54,  3393294.95,2,0, -26488127.44809,1999-02-28T22:10:08.367,  1583
301.29721,-13.01240,   -1511.77, 377855.06,  3393265.39,2,0, -26488127.34809,1999-02-28T22:10:08.467,  1583
301.29653,-13.01760,   -1619.14, 377960.15,  3393157.26,1,0, -26488127.24809,1999-02-28T22:10:08.567,  1583
301.29584,-13.02270,   -1787.83, 378126.58,  3392987.81,2,0, -26488127.14808,1999-02-28T22:10:08.667,  1583
301.29516,-13.02780,   -1982.67, 378319.12,  3392792.21,1,0, -26488127.04808,1999-02-28T22:10:08.767,  1583
301.29448,-13.03290,   -2153.63, 378487.81,  3392620.49,1,0, -26488126.94807,1999-02-28T22:10:08.867,  1583
301.29380,-13.03800,   -2317.91, 378649.82,  3392455.45,1,0, -26488126.84807,1999-02-28T22:10:08.967,  1583
301.29312,-13.04310,   -2481.80, 378811.43,  3392290.80,2,0, -26488126.74807,1999-02-28T22:10:09.067,  1583
301.29243,-13.04820,   -2642.36, 378969.70,  3392129.48,2,0, -26488126.64806,1999-02-28T22:10:09.167,  1583
301.29175,-13.05330,   -2793.44, 379118.50,  3391977.64,1,0, -26488126.54806,1999-02-28T22:10:09.267,  1583
301.29107,-13.05850,   -2943.72, 379266.50,  3391826.60,1,0, -26488126.44806,1999-02-28T22:10:09.367,  1583
301.29038,-13.06360,   -3052.95, 379373.45,  3391716.61,1,0, -26488126.34805,1999-02-28T22:10:09.467,  1583
301.28970,-13.06870,   -3126.45, 379444.70,  3391642.35,1,0, -26488126.24805,1999-02-28T22:10:09.567,  1583
301.28902,-13.07380,   -3218.68, 379534.64,  3391549.36,1,0, -26488126.14804,1999-02-28T22:10:09.667,  1583
301.28833,-13.07890,   -3291.22, 379604.90,  3391476.06,1,0, -26488126.04804,1999-02-28T22:10:09.767,  1583
301.28765,-13.08400,   -3330.76, 379642.17,  3391435.76,1,0, -26488125.94804,1999-02-28T22:10:09.867,  1583
301.28696,-13.08910,   -3350.58, 379659.70,  3391415.18,1,0, -26488125.84803,1999-02-28T22:10:09.967,  1583
301.28628,-13.09430,   -3429.66, 379736.51,  3391335.34,2,0, -26488125.74803,1999-02-28T22:10:10.067,  1583
301.28491,-13.10450,   -3609.28, 379911.54,  3391154.22,1,0, -26488125.54802,1999-02-28T22:10:10.267,  1583
301.28423,-13.10960,   -3660.51, 379960.49,  3391102.23,2,0, -26488125.44802,1999-02-28T22:10:10.367,  1583
301.28354,-13.11470,   -3751.04, 380048.75,  3391010.95,1,0, -26488125.34801,1999-02-28T22:10:10.467,  1583
301.28286,-13.11980,   -3795.63, 380091.03,  3390965.61,1,0, -26488125.24801,1999-02-28T22:10:10.567,  1583
301.28217,-13.12490,   -3821.19, 380114.31,  3390939.30,1,0, -26488125.14800,1999-02-28T22:10:10.667,  1583
301.28149,-13.13010,   -3854.53, 380145.38,  3390905.20,1,0, -26488125.04800,1999-02-28T22:10:10.767,  1583
301.28080,-13.13520,   -3870.73, 380159.28,  3390888.25,1,0, -26488124.94800,1999-02-28T22:10:10.867,  1583
301.28012,-13.14030,   -3907.86, 380194.15,  3390850.37,1,0, -26488124.84799,1999-02-28T22:10:10.967,  1583
301.27943,-13.14540,   -4004.94, 380288.93,  3390752.54,1,0, -26488124.74799,1999-02-28T22:10:11.067,  1583
301.27875,-13.15050,   -4139.57, 380421.28,  3390617.15,1,0, -26488124.64799,1999-02-28T22:10:11.167,  1583
301.27806,-13.15560,   -4216.28, 380495.69,  3390539.69,1,0, -26488124.54798,1999-02-28T22:10:11.267,  1583
301.27738,-13.16080,   -4222.46, 380499.60,  3390532.76,1,0, -26488124.44798,1999-02-28T22:10:11.367,  1583
301.27669,-13.16590,   -4222.76, 380497.60,  3390531.71,1,0, -26488124.34797,1999-02-28T22:10:11.467,  1583
301.27601,-13.17100,   -4207.55, 380480.11,  3390546.16,1,0, -26488124.24797,1999-02-28T22:10:11.567,  1583
301.27532,-13.17610,   -4170.73, 380441.01,  3390582.23,1,0, -26488124.14797,1999-02-28T22:10:11.667,  1583
301.27463,-13.18120,   -4101.86, 380369.85,  3390650.35,1,0, -26488124.04796,1999-02-28T22:10:11.767,  1583
301.27394,-13.18630,   -3994.31, 380260.02,  3390757.15,1,0, -26488123.94796,1999-02-28T22:10:11.867,  1583
301.27326,-13.19150,   -4008.75, 380272.19,  3390741.95,1,0, -26488123.84796,1999-02-28T22:10:11.967,  1583
301.27257,-13.19660,   -4055.20, 380316.35,  3390694.75,1,0, -26488123.74795,1999-02-28T22:10:12.067,  1583
301.27189,-13.20170,   -4118.97, 380377.83,  3390630.23,1,0, -26488123.64795,1999-02-28T22:10:12.167,  1583
301.27121,-13.20680,   -4342.76, 380599.32,  3390405.70,1,0, -26488123.54794,1999-02-28T22:10:12.267,  1583
301.27053,-13.21190,   -4499.78, 380754.06,  3390247.93,1,0, -26488123.44794,1999-02-28T22:10:12.367,  1583
301.26984,-13.21700,   -4536.91, 380788.90,  3390210.05,1,0, -26488123.34794,1999-02-28T22:10:12.467,  1583
301.26915,-13.22210,   -4367.01, 380616.71,  3390379.21,2,0, -26488123.24793,1999-02-28T22:10:12.567,  1583
301.26846,-13.22730,   -4325.96, 380573.37,  3390419.51,1,0, -26488123.14793,1999-02-28T22:10:12.667,  1583
301.26778,-13.23240,   -4474.84, 380719.95,  3390269.88,1,0, -26488123.04792,1999-02-28T22:10:12.767,  1583
301.26710,-13.23750,   -4626.91, 380869.73,  3390117.07,1,0, -26488122.94792,1999-02-28T22:10:12.867,  1583
301.26641,-13.24260,   -4699.40, 380939.94,  3390043.83,1,0, -26488122.84792,1999-02-28T22:10:12.967,  1583
301.26573,-13.24770,   -4713.15, 380951.40,  3390029.33,1,0, -26488122.74791,1999-02-28T22:10:13.067,  1583
301.26504,-13.25280,   -4735.12, 380971.08,  3390006.62,1,0, -26488122.64791,1999-02-28T22:10:13.167,  1583
301.26435,-13.25790,   -4758.62, 380992.27,  3389982.37,1,0, -26488122.54791,1999-02-28T22:10:13.267,  1583
301.26367,-13.26310,   -4776.04, 381007.41,  3389964.20,1,0, -26488122.44790,1999-02-28T22:10:13.367,  1583
301.26298,-13.26820,   -4798.60, 381027.70,  3389940.90,1,0, -26488122.34790,1999-02-28T22:10:13.467,  1583
301.26230,-13.27330,   -4837.43, 381064.23,  3389901.32,1,0, -26488122.24789,1999-02-28T22:10:13.567,  1583
301.26161,-13.27840,   -4863.85, 381088.36,  3389874.15,1,0, -26488122.14789,1999-02-28T22:10:13.667,  1583
301.26092,-13.28350,   -4891.98, 381114.20,  3389845.28,1,0, -26488122.04789,1999-02-28T22:10:13.767,  1583
301.26024,-13.28860,   -4914.87, 381134.81,  3389821.64,1,0, -26488121.94788,1999-02-28T22:10:13.867,  1583
301.25955,-13.29380,   -4933.24, 381150.90,  3389802.52,1,0, -26488121.84788,1999-02-28T22:10:13.967,  1583
301.25887,-13.29890,   -4951.65, 381167.01,  3389783.37,1,0, -26488121.74788,1999-02-28T22:10:14.067,  1583
301.25818,-13.30400,   -4967.49, 381180.57,  3389766.78,1,0, -26488121.64787,1999-02-28T22:10:14.167,  1583
301.25749,-13.30910,   -4982.87, 381193.63,  3389750.66,1,0, -26488121.54787,1999-02-28T22:10:14.267,  1583
301.25681,-13.31420,   -4994.04, 381202.51,  3389738.75,1,0, -26488121.44786,1999-02-28T22:10:14.367,  1583
301.25612,-13.31930,   -5004.67, 381210.86,  3389727.38,1,0, -26488121.34786,1999-02-28T22:10:14.467,  1583
301.25475,-13.32960,   -5021.66, 381223.26,  3389708.91,1,0, -26488121.14785,1999-02-28T22:10:14.667,  1583
301.25406,-13.33470,   -5028.45, 381227.76,  3389701.38,1,0, -26488121.04785,1999-02-28T22:10:14.767,  1583
301.25338,-13.33980,   -5019.04, 381216.03,  3389710.05,1,0, -26488120.94784,1999-02-28T22:10:14.867,  1583
301.25269,-13.34490,   -5011.63, 381206.33,  3389716.72,1,0, -26488120.84784,1999-02-28T22:10:14.967,  1583
301.25200,-13.35000,   -5013.23, 381205.63,  3389714.38,1,0, -26488120.74784,1999-02-28T22:10:15.067,  1583
301.25132,-13.35510,   -5015.75, 381205.85,  3389711.12,1,0, -26488120.64783,1999-02-28T22:10:15.167,  1583
301.25063,-13.36030,   -5018.88, 381206.70,  3389707.25,1,0, -26488120.54783,1999-02-28T22:10:15.267,  1583
301.24994,-13.36540,   -5011.10, 381196.61,  3389714.29,1,0, -26488120.44783,1999-02-28T22:10:15.367,  1583
301.24926,-13.37050,   -4993.83, 381177.05,  3389730.82,1,0, -26488120.34782,1999-02-28T22:10:15.467,  1583
301.24857,-13.37560,   -4968.79, 381149.73,  3389755.12,1,0, -26488120.24782,1999-02-28T22:10:15.567,  1583
301.24788,-13.38070,   -4929.62, 381108.25,  3389793.55,1,0, -26488120.14781,1999-02-28T22:10:15.667,  1583
301.24719,-13.38580,   -4887.23, 381063.58,  3389835.20,1,0, -26488120.04781,1999-02-28T22:10:15.767,  1583
301.24651,-13.39100,   -4843.76, 381017.82,  3389877.93,1,0, -26488119.94781,1999-02-28T22:10:15.867,  1583
301.24582,-13.39610,   -4807.81, 380979.55,  3389913.14,1,0, -26488119.84780,1999-02-28T22:10:15.967,  1583
301.24513,-13.40120,   -4778.32, 380947.77,  3389941.89,1,0, -26488119.74780,1999-02-28T22:10:16.067,  1583
301.24445,-13.40630,   -4758.56, 380925.73,  3389960.91,1,0, -26488119.64780,1999-02-28T22:10:16.167,  1583
301.24377,-13.41140,   -4640.16, 380805.03,  3390078.57,1,0, -26488119.54779,1999-02-28T22:10:16.267,  1583
301.24309,-13.41660,   -4555.08, 380717.64,  3390162.92,1,0, -26488119.44779,1999-02-28T22:10:16.367,  1583
301.24241,-13.42170,   -4527.07, 380687.33,  3390190.20,1,0, -26488119.34778,1999-02-28T22:10:16.467,  1583
301.24173,-13.42680,   -4509.80, 380667.75,  3390206.73,1,0, -26488119.24778,1999-02-28T22:10:16.567,  1583
301.24105,-13.43190,   -4496.73, 380652.38,  3390219.07,1,0, -26488119.14778,1999-02-28T22:10:16.667,  1583
