long_East,lat_North,topography, MOLArange,  planet_rad, c,A,  Ephermis Time,            UTC,          Orbit
170.91135,-80.99820,    2824.59, 364633.17,  3381672.26,1,0, -26140519.76511,1999-03-04T22:43:36.049,  1632
170.90032,-80.99320,    2819.26, 364638.84,  3381667.38,1,0, -26140519.66510,1999-03-04T22:43:36.149,  1632
170.88928,-80.98830,    2821.38, 364637.05,  3381669.96,1,0, -26140519.56510,1999-03-04T22:43:36.249,  1632
170.87825,-80.98340,    2819.69, 364639.09,  3381668.72,1,0, -26140519.46509,1999-03-04T22:43:36.349,  1632
170.86721,-80.97850,    2822.06, 364637.05,  3381671.55,1,0, -26140519.36509,1999-03-04T22:43:36.449,  1632
170.85618,-80.97350,    2818.69, 364640.76,  3381668.63,1,0, -26140519.26509,1999-03-04T22:43:36.549,  1632
170.84515,-80.96860,    2819.39, 364640.40,  3381669.79,1,0, -26140519.16508,1999-03-04T22:43:36.649,  1632
170.83411,-80.96370,    2819.42, 364640.72,  3381670.27,1,0, -26140519.06508,1999-03-04T22:43:36.749,  1632
170.82308,-80.95880,    2817.42, 364643.05,  3381668.73,1,0, -26140518.96508,1999-03-04T22:43:36.849,  1632
170.81204,-80.95390,    2819.70, 364641.11,  3381671.46,1,0, -26140518.86507,1999-03-04T22:43:36.949,  1632
170.78997,-80.94400,    2822.78, 364638.71,  3381675.45,1,0, -26140518.66506,1999-03-04T22:43:37.150,  1632
170.77904,-80.93910,    2823.84, 364637.99,  3381676.96,1,0, -26140518.56506,1999-03-04T22:43:37.250,  1632
170.76823,-80.93420,    2825.28, 364636.89,  3381678.86,1,0, -26140518.46506,1999-03-04T22:43:37.350,  1632
170.75742,-80.92930,    2828.11, 364634.41,  3381682.15,1,0, -26140518.36505,1999-03-04T22:43:37.450,  1632
170.74661,-80.92430,    2833.13, 364629.71,  3381687.63,1,0, -26140518.26505,1999-03-04T22:43:37.550,  1632
170.73580,-80.91940,    2836.01, 364627.17,  3381690.97,1,0, -26140518.16504,1999-03-04T22:43:37.650,  1632
170.72500,-80.91450,    2837.05, 364626.47,  3381692.47,1,0, -26140518.06504,1999-03-04T22:43:37.750,  1632
170.71419,-80.90950,    2841.45, 364622.42,  3381697.33,1,0, -26140517.96504,1999-03-04T22:43:37.850,  1632
170.69257,-80.89970,    2845.14, 364619.42,  3381701.94,1,0, -26140517.76503,1999-03-04T22:43:38.050,  1632
170.68176,-80.89480,    2845.10, 364619.78,  3381702.36,1,0, -26140517.66503,1999-03-04T22:43:38.150,  1632
170.67096,-80.88980,    2845.47, 364619.75,  3381703.19,1,0, -26140517.56502,1999-03-04T22:43:38.250,  1632
170.66015,-80.88490,    2848.09, 364617.47,  3381706.27,1,0, -26140517.46502,1999-03-04T22:43:38.350,  1632
170.64934,-80.88000,    2851.08, 364614.83,  3381709.72,1,0, -26140517.36501,1999-03-04T22:43:38.450,  1632
170.63853,-80.87510,    2852.11, 364614.12,  3381711.21,1,0, -26140517.26501,1999-03-04T22:43:38.550,  1632
170.62773,-80.87010,    2853.96, 364612.64,  3381713.52,1,0, -26140517.16501,1999-03-04T22:43:38.650,  1632
170.61692,-80.86520,    2858.07, 364608.87,  3381718.09,1,0, -26140517.06500,1999-03-04T22:43:38.750,  1632
170.60611,-80.86030,    2860.35, 364606.91,  3381720.83,1,0, -26140516.96500,1999-03-04T22:43:38.850,  1632
170.59530,-80.85530,    2862.47, 364605.13,  3381723.41,1,0, -26140516.86500,1999-03-04T22:43:38.950,  1632
170.58449,-80.85040,    2862.93, 364605.02,  3381724.33,1,0, -26140516.76499,1999-03-04T22:43:39.050,  1632
170.57369,-80.84550,    2865.56, 364602.73,  3381727.42,1,0, -26140516.66499,1999-03-04T22:43:39.150,  1632
170.56320,-80.84060,    2867.22, 364601.43,  3381729.55,1,0, -26140516.56498,1999-03-04T22:43:39.250,  1632
170.55255,-80.83560,    2865.44, 364603.54,  3381728.23,1,0, -26140516.46498,1999-03-04T22:43:39.350,  1632
170.54191,-80.83070,    2868.25, 364601.07,  3381731.50,1,0, -26140516.36498,1999-03-04T22:43:39.450,  1632
170.53127,-80.82580,    2870.87, 364598.80,  3381734.58,1,0, -26140516.26497,1999-03-04T22:43:39.550,  1632
170.52063,-80.82090,    2870.52, 364599.48,  3381734.70,1,0, -26140516.16497,1999-03-04T22:43:39.650,  1632
170.50999,-80.81590,    2872.80, 364597.55,  3381737.44,1,0, -26140516.06497,1999-03-04T22:43:39.750,  1632
170.49934,-80.81100,    2873.11, 364597.58,  3381738.21,1,0, -26140515.96496,1999-03-04T22:43:39.850,  1632
170.48870,-80.80610,    2874.64, 364596.40,  3381740.20,1,0, -26140515.86496,1999-03-04T22:43:39.950,  1632
170.47806,-80.80120,    2877.52, 364593.86,  3381743.55,1,0, -26140515.76495,1999-03-04T22:43:40.050,  1632
170.45678,-80.79130,    2880.95, 364591.12,  3381747.90,1,0, -26140515.56495,1999-03-04T22:43:40.250,  1632
170.44613,-80.78640,    2882.01, 364590.40,  3381749.42,1,0, -26140515.46494,1999-03-04T22:43:40.350,  1632
170.43549,-80.78150,    2883.00, 364589.75,  3381750.88,1,0, -26140515.36494,1999-03-04T22:43:40.450,  1632
170.42485,-80.77650,    2884.07, 364589.04,  3381752.41,1,0, -26140515.26494,1999-03-04T22:43:40.550,  1632
170.41421,-80.77160,    2885.32, 364588.12,  3381754.12,1,0, -26140515.16493,1999-03-04T22:43:40.650,  1632
170.40357,-80.76670,    2885.57, 364588.22,  3381754.83,1,0, -26140515.06493,1999-03-04T22:43:40.750,  1632
170.39292,-80.76170,    2887.38, 364586.76,  3381757.11,1,0, -26140514.96492,1999-03-04T22:43:40.850,  1632
170.37164,-80.75190,    2890.29, 364584.52,  3381760.94,1,0, -26140514.76492,1999-03-04T22:43:41.050,  1632
170.36100,-80.74700,    2892.13, 364583.04,  3381763.24,1,0, -26140514.66491,1999-03-04T22:43:41.150,  1632
170.35022,-80.74210,    2893.35, 364582.12,  3381764.93,1,0, -26140514.56491,1999-03-04T22:43:41.250,  1632
170.33976,-80.73720,    2895.35, 364580.48,  3381767.40,1,0, -26140514.46490,1999-03-04T22:43:41.350,  1632
170.32929,-80.73230,    2896.56, 364579.59,  3381769.08,1,0, -26140514.36490,1999-03-04T22:43:41.450,  1632
170.31882,-80.72730,    2898.09, 364578.41,  3381771.07,1,0, -26140514.26490,1999-03-04T22:43:41.550,  1632
170.30836,-80.72240,    2899.54, 364577.30,  3381772.99,1,0, -26140514.16489,1999-03-04T22:43:41.650,  1632
170.29789,-80.71750,    2900.59, 364576.59,  3381774.51,1,0, -26140514.06489,1999-03-04T22:43:41.750,  1632
170.28743,-80.71260,    2902.33, 364575.18,  3381776.72,1,0, -26140513.96489,1999-03-04T22:43:41.850,  1632
170.27696,-80.70760,    2903.39, 364574.48,  3381778.24,1,0, -26140513.86488,1999-03-04T22:43:41.950,  1632
170.26649,-80.70270,    2905.32, 364572.88,  3381780.64,1,0, -26140513.76488,1999-03-04T22:43:42.050,  1632
170.25603,-80.69780,    2905.65, 364572.89,  3381781.44,1,0, -26140513.66487,1999-03-04T22:43:42.150,  1632
170.24556,-80.69290,    2906.35, 364572.53,  3381782.60,1,0, -26140513.56487,1999-03-04T22:43:42.250,  1632
170.23510,-80.68790,    2905.64, 364573.60,  3381782.36,1,0, -26140513.46487,1999-03-04T22:43:42.350,  1632
170.22463,-80.68300,    2906.43, 364573.13,  3381783.62,1,0, -26140513.36486,1999-03-04T22:43:42.450,  1632
170.21417,-80.67810,    2907.76, 364572.17,  3381785.41,1,0, -26140513.26486,1999-03-04T22:43:42.550,  1632
170.20370,-80.67320,    2908.07, 364572.18,  3381786.19,1,0, -26140513.16486,1999-03-04T22:43:42.650,  1632
